y,u
-0.495,	304.979
-0.485,	254.095
-0.475,	239.940
-0.465,	237.842
-0.455,	228.021
-0.445,	223.542
-0.435,	224.596
-0.425,	207.093
-0.415,	204.911
-0.405,	204.416
-0.395,	195.679
-0.385,	186.040
-0.375,	178.153
-0.365,	174.904
-0.355,	167.082
-0.345,	156.958
-0.335,	156.969
-0.325,	157.435
-0.315,	155.149
-0.305,	150.098
-0.295,	140.899
-0.285,	136.996
-0.275,	135.602
-0.265,	136.087
-0.255,	142.968
-0.235,	136.351
-0.225,	138.034
-0.215,	145.878
-0.205,	138.385
-0.195,	148.635
-0.185,	143.115
-0.175,	146.062
-0.165,	155.330
-0.155,	146.654
-0.145,	155.870
-0.135,	160.046
-0.125,	149.908
-0.115,	155.611
-0.105,	165.438
-0.095,	163.720
-0.085,	159.255
-0.075,	158.382
-0.065,	169.219
-0.055,	167.425
-0.045,	168.734
-0.035,	220.883
-0.025,	248.593
-0.015,	274.979
-0.005,	291.478
0.005,	304.259
0.015,	300.872
0.025,	315.188
0.035,	317.089
0.045,	318.237
0.055,	313.290
0.065,	285.896
0.075,	271.173
0.085,	253.347
0.095,	234.951
0.105,	213.152
0.115,	193.511
0.125,	198.167
0.135,	188.482
0.145,	179.591
0.155,	169.345
0.165,	168.349
0.175,	170.227
0.185,	173.876
0.195,	170.824
0.205,	165.863
0.215,	170.968
0.225,	137.084
0.235,	166.781
0.245,	145.588
0.255,	150.393
0.265,	136.218
0.285,	160.067
0.295,	168.381
0.305,	175.059
0.315,	170.222
0.325,	185.049
0.335,	188.881
0.345,	162.635
0.355,	157.979
0.365,	168.488
0.375,	165.621
0.385,	175.108
0.395,	179.584
0.405,	167.589
0.415,	185.042
0.425,	205.844
0.435,	213.718
0.445,	240.914
0.455,	245.963
0.465,	266.321
0.475,	287.551
0.485,	279.333
0.495,	298.914
