X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.755,-0.025,0.775,6.63761,65.716876784
0.755,-0.015,0.775,6.74556,65.716876784
0.755,-0.005,0.775,33.3301,65.716876784
0.755,0.005,0.775,71.6779,65.716876784
0.755,0.015,0.775,92.1112,65.716876784
0.755,0.025,0.775,110.695,65.716876784
0.755,0.035,0.775,117.732,65.716876784
0.755,0.045,0.775,125.818,65.716876784
0.755,0.055,0.775,99.1125,65.716876784
0.755,0.065,0.775,90.2018,65.716876784
0.755,0.075,0.775,87.1881,65.716876784
0.765,-0.065,0.775,40.1451,65.716876784
0.765,-0.055,0.775,39.3755,65.716876784
0.765,-0.045,0.775,95.597,65.716876784
0.765,-0.035,0.775,119.93,65.716876784
0.765,-0.025,0.775,130.045,65.716876784
0.765,-0.015,0.775,35.8088,65.716876784
0.765,-0.005,0.785,181.446,65.716876784
0.765,0.005,0.775,32.1064,65.716876784
0.765,0.005,0.785,241.155,65.716876784
0.765,0.015,0.775,52.4868,65.716876784
0.765,0.015,0.785,431.14,65.716876784
0.765,0.025,0.775,68.4986,65.716876784
0.765,0.025,0.785,518.135,65.716876784
0.765,0.035,0.775,103.101,65.716876784
0.765,0.035,0.785,510.279,65.716876784
0.765,0.045,0.775,132.757,65.716876784
0.765,0.045,0.785,498.955,65.716876784
0.765,0.055,0.775,142.641,65.716876784
0.765,0.055,0.785,360.147,65.716876784
0.765,0.065,0.775,157.604,65.716876784
0.765,0.065,0.785,109.274,65.716876784
0.765,0.075,0.775,136.616,65.716876784
0.775,-0.065,0.775,39.6854,65.716876784
0.775,-0.055,0.775,73.3129,65.716876784
0.775,-0.045,0.775,138.003,65.716876784
0.775,-0.035,0.775,274.952,65.716876784
0.775,-0.035,0.785,165.776,65.716876784
0.775,-0.025,0.775,301.647,65.716876784
0.775,-0.025,0.785,304.784,65.716876784
0.775,-0.015,0.775,163.342,65.716876784
0.775,-0.015,0.785,321.407,65.716876784
0.775,-0.005,0.785,115.769,65.716876784
0.775,0.005,0.785,46.1135,65.716876784
0.775,0.005,0.795,128.856,65.716876784
0.775,0.005,0.805,115.391,65.716876784
0.775,0.005,0.815,208.425,65.716876784
0.775,0.005,0.825,220.257,65.716876784
0.775,0.015,0.785,51.9308,65.716876784
0.775,0.015,0.795,177.56,65.716876784
0.775,0.015,0.805,313.599,65.716876784
0.775,0.015,0.815,419.343,65.716876784
0.775,0.015,0.825,586.536,65.716876784
0.775,0.015,0.835,659.465,65.716876784
0.775,0.015,0.845,674.421,65.716876784
0.775,0.025,0.785,75.7624,65.716876784
0.775,0.025,0.795,161.264,65.716876784
0.775,0.025,0.805,527.861,65.716876784
