X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.755,-0.015,0.765,267.518,50.519289979
0.755,-0.005,0.765,315.48,50.519289979
0.755,0.005,0.765,549.136,50.519289979
0.755,0.015,0.765,618.679,50.519289979
0.755,0.025,0.765,594.698,50.519289979
0.755,0.025,0.775,827.673,50.519289979
0.755,0.035,0.765,718.945,50.519289979
0.755,0.045,0.765,924.439,50.519289979
0.755,0.055,0.765,1227.53,50.519289979
0.755,0.065,0.765,869.68,50.519289979
0.755,0.075,0.765,357.003,50.519289979
0.765,-0.035,0.765,78.9948,50.519289979
0.765,-0.025,0.765,327.442,50.519289979
0.765,-0.015,0.765,333.491,50.519289979
0.765,-0.015,0.775,360.123,50.519289979
0.765,-0.005,0.765,326.916,50.519289979
0.765,-0.005,0.775,342.536,50.519289979
0.765,0.005,0.765,77.6521,50.519289979
0.765,0.005,0.775,347.354,50.519289979
0.765,0.015,0.775,315.047,50.519289979
0.765,0.025,0.775,297.328,50.519289979
0.765,0.035,0.765,4.24453,50.519289979
0.765,0.035,0.775,615.335,50.519289979
0.765,0.045,0.765,378.618,50.519289979
0.765,0.045,0.775,1012.6,50.519289979
0.765,0.055,0.765,923.087,50.519289979
0.765,0.055,0.775,1475.79,50.519289979
0.765,0.065,0.765,1158.94,50.519289979
0.765,0.065,0.775,1398.77,50.519289979
0.765,0.075,0.765,1108.45,50.519289979
0.775,-0.035,0.765,354.392,50.519289979
0.775,-0.025,0.765,377.857,50.519289979
0.775,-0.025,0.775,413.374,50.519289979
0.775,-0.015,0.765,141.377,50.519289979
0.775,-0.015,0.775,418.99,50.519289979
0.775,-0.005,0.775,390.176,50.519289979
0.775,-0.005,0.785,439.273,50.519289979
0.775,-0.005,0.795,519.731,50.519289979
0.775,-0.005,0.805,548.434,50.519289979
0.775,0.005,0.785,78.1322,50.519289979
0.775,0.005,0.795,427.539,50.519289979
0.775,0.005,0.805,480.48,50.519289979
0.775,0.005,0.815,443.035,50.519289979
0.775,0.005,0.825,598.635,50.519289979
0.775,0.015,0.815,194.74,50.519289979
0.775,0.015,0.825,242.596,50.519289979
0.775,0.025,0.825,208.434,50.519289979
0.775,0.025,0.835,960.927,50.519289979
0.775,0.035,0.805,12.5961,50.519289979
0.775,0.035,0.815,479.313,50.519289979
0.775,0.035,0.825,1223.56,50.519289979
0.775,0.045,0.785,88.56,50.519289979
0.775,0.045,0.795,652.443,50.519289979
0.775,0.045,0.805,1094.68,50.519289979
0.775,0.045,0.815,1476.12,50.519289979
0.775,0.045,0.825,1705.12,50.519289979
0.775,0.045,0.835,1945.47,50.519289979
0.775,0.055,0.775,711.193,50.519289979
0.775,0.055,0.785,1379.13,50.519289979
0.775,0.055,0.795,1545.31,50.519289979
0.775,0.055,0.805,1633.58,50.519289979
0.775,0.065,0.765,702.751,50.519289979
0.775,0.065,0.775,1468.11,50.519289979
0.775,0.065,0.785,1589.11,50.519289979
0.775,0.075,0.765,1135.97,50.519289979
0.775,0.075,0.775,1353.27,50.519289979
0.785,-0.045,0.765,318.349,50.519289979
