X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.755,-0.015,0.765,179.064,65.016331237
0.755,-0.005,0.765,134.168,65.016331237
0.755,0.005,0.765,190.507,65.016331237
0.755,0.015,0.765,489.74,65.016331237
0.755,0.025,0.765,612.608,65.016331237
0.755,0.035,0.765,645.277,65.016331237
0.755,0.045,0.765,580.861,65.016331237
0.765,-0.025,0.765,491.114,65.016331237
0.765,-0.015,0.765,412.905,65.016331237
0.765,-0.005,0.765,107.013,65.016331237
0.765,-0.005,0.775,233.501,65.016331237
0.765,0.025,0.775,12.1742,65.016331237
0.765,0.025,0.785,612.574,65.016331237
0.765,0.035,0.775,606.321,65.016331237
0.765,0.045,0.765,223.414,65.016331237
0.765,0.055,0.765,559.279,65.016331237
0.765,0.065,0.765,532.162,65.016331237
0.775,-0.035,0.765,625.724,65.016331237
0.775,-0.025,0.765,622.175,65.016331237
0.775,-0.025,0.775,755.396,65.016331237
0.775,-0.015,0.765,550.209,65.016331237
0.775,-0.015,0.775,743.713,65.016331237
0.775,-0.015,0.785,890.335,65.016331237
0.775,-0.015,0.795,1045.21,65.016331237
0.775,-0.015,0.805,844.413,65.016331237
0.775,-0.005,0.765,28.948,65.016331237
0.775,-0.005,0.775,471.373,65.016331237
0.775,-0.005,0.785,572.338,65.016331237
0.775,-0.005,0.795,611.8,65.016331237
0.775,-0.005,0.805,741.074,65.016331237
0.775,-0.005,0.815,867.267,65.016331237
0.775,-0.005,0.825,1159.77,65.016331237
0.775,0.005,0.785,28.0886,65.016331237
0.775,0.005,0.795,170.672,65.016331237
0.775,0.005,0.805,262.433,65.016331237
0.775,0.005,0.815,524.132,65.016331237
0.775,0.005,0.825,602.133,65.016331237
0.775,0.005,0.835,676.586,65.016331237
0.775,0.015,0.815,47.9358,65.016331237
0.775,0.015,0.825,264.848,65.016331237
0.775,0.015,0.835,444.165,65.016331237
0.775,0.015,0.845,537.942,65.016331237
0.775,0.015,0.855,574.183,65.016331237
0.775,0.025,0.835,171.9,65.016331237
0.775,0.025,0.845,856.772,65.016331237
0.775,0.025,0.855,1039.89,65.016331237
0.775,0.035,0.815,21.0965,65.016331237
0.775,0.035,0.825,674.516,65.016331237
0.775,0.035,0.835,1398.22,65.016331237
0.775,0.045,0.795,175.569,65.016331237
0.775,0.045,0.805,1135.44,65.016331237
0.775,0.045,0.815,1490.33,65.016331237
0.775,0.055,0.775,631.205,65.016331237
0.775,0.055,0.785,1089.61,65.016331237
0.775,0.065,0.765,429.48,65.016331237
0.775,0.075,0.765,410.746,65.016331237
0.785,-0.045,0.765,719.579,65.016331237
0.785,-0.025,0.765,587.811,65.016331237
0.785,-0.025,0.775,1153.42,65.016331237
0.785,-0.025,0.785,1508.05,65.016331237
0.785,-0.015,0.775,613.517,65.016331237
0.785,-0.015,0.785,876.471,65.016331237
0.785,-0.015,0.795,1149.65,65.016331237
0.785,-0.015,0.805,1600.21,65.016331237
0.785,-0.015,0.815,1671.87,65.016331237
0.785,-0.005,0.795,38.5068,65.016331237
0.785,-0.005,0.805,315.136,65.016331237
0.785,-0.005,0.815,789.226,65.016331237
0.785,-0.005,0.825,1238.97,65.016331237
0.785,-0.005,0.835,1742.42,65.016331237
0.785,-0.005,0.845,1855.12,65.016331237
0.785,-0.005,0.855,1838.54,65.016331237
0.785,0.005,0.835,229.509,65.016331237
0.785,0.005,0.845,478.815,65.016331237
0.785,0.005,0.855,483.559,65.016331237
0.785,0.005,0.865,462.781,65.016331237
0.785,0.005,0.875,534.581,65.016331237
0.785,0.005,0.885,635.58,65.016331237
0.785,0.015,0.865,326.142,65.016331237
0.785,0.015,0.875,411.615,65.016331237
