X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.765,0.005,0.775,576.329,60.879059066
0.765,0.015,0.775,419.413,60.879059066
0.765,0.025,0.775,320.585,60.879059066
0.765,0.035,0.775,344.9,60.879059066
0.765,0.035,0.785,604.319,60.879059066
0.765,0.035,0.795,412.472,60.879059066
0.765,0.045,0.775,359.957,60.879059066
0.765,0.045,0.785,533.773,60.879059066
0.765,0.055,0.775,352.377,60.879059066
0.765,0.065,0.775,303.298,60.879059066
0.775,-0.015,0.775,708.696,60.879059066
0.775,-0.005,0.775,248.843,60.879059066
0.775,-0.005,0.785,897.856,60.879059066
0.775,-0.005,0.795,948.864,60.879059066
0.775,0.005,0.775,38.4239,60.879059066
0.775,0.005,0.785,669.029,60.879059066
0.775,0.005,0.795,889.24,60.879059066
0.775,0.005,0.805,881.107,60.879059066
0.775,0.015,0.785,415.947,60.879059066
0.775,0.015,0.795,714.692,60.879059066
0.775,0.015,0.805,819.034,60.879059066
0.775,0.015,0.815,896.107,60.879059066
0.775,0.015,0.825,1355.42,60.879059066
0.775,0.015,0.835,1454.26,60.879059066
0.775,0.025,0.785,314.061,60.879059066
0.775,0.025,0.795,474.227,60.879059066
0.775,0.025,0.805,695.064,60.879059066
0.775,0.025,0.815,837.512,60.879059066
0.775,0.025,0.825,1061.98,60.879059066
0.775,0.025,0.835,1313.05,60.879059066
0.775,0.025,0.845,1442.9,60.879059066
0.775,0.035,0.785,389.124,60.879059066
0.775,0.035,0.795,644.684,60.879059066
0.775,0.035,0.805,771.648,60.879059066
0.775,0.035,0.815,835.748,60.879059066
0.775,0.035,0.825,914.279,60.879059066
0.775,0.035,0.835,1137.5,60.879059066
0.775,0.035,0.845,1324.24,60.879059066
0.775,0.035,0.855,1364.88,60.879059066
0.775,0.045,0.785,508.439,60.879059066
0.775,0.045,0.795,649.711,60.879059066
0.775,0.045,0.805,750.527,60.879059066
0.775,0.045,0.815,842.332,60.879059066
