X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.765,0.005,0.775,134.688,66.104813078
0.765,0.015,0.775,147.365,66.104813078
0.765,0.025,0.775,196.044,66.104813078
0.765,0.035,0.775,338.811,66.104813078
0.765,0.045,0.775,486.495,66.104813078
0.765,0.055,0.775,488.067,66.104813078
0.765,0.065,0.775,477.982,66.104813078
0.775,-0.015,0.775,381.315,66.104813078
0.775,-0.005,0.775,114.873,66.104813078
0.775,0.005,0.785,201.762,66.104813078
0.775,0.005,0.795,431.805,66.104813078
0.775,0.015,0.785,43.3687,66.104813078
0.775,0.015,0.795,369.569,66.104813078
0.775,0.015,0.805,531.397,66.104813078
0.775,0.015,0.815,627.795,66.104813078
0.775,0.015,0.825,826.533,66.104813078
0.775,0.025,0.785,71.6167,66.104813078
0.775,0.025,0.795,334.811,66.104813078
0.775,0.025,0.805,610.894,66.104813078
0.775,0.025,0.815,766.174,66.104813078
0.775,0.025,0.825,883.263,66.104813078
0.775,0.025,0.835,1011.69,66.104813078
0.775,0.035,0.785,418.033,66.104813078
0.775,0.035,0.795,693.825,66.104813078
0.775,0.035,0.805,1050.08,66.104813078
0.775,0.035,0.815,1068.97,66.104813078
0.775,0.035,0.825,1187.69,66.104813078
0.775,0.035,0.835,1181.81,66.104813078
0.775,0.045,0.785,615.62,66.104813078
0.775,0.045,0.795,1101.17,66.104813078
0.775,0.045,0.805,1158.1,66.104813078
0.775,0.045,0.815,1223.18,66.104813078
0.775,0.045,0.825,1413.19,66.104813078
0.775,0.055,0.775,14.1256,66.104813078
0.775,0.055,0.785,934.965,66.104813078
0.775,0.055,0.795,1237.95,66.104813078
0.775,0.055,0.805,1249.79,66.104813078
0.775,0.055,0.815,1232.43,66.104813078
0.775,0.055,0.825,1348.22,66.104813078
0.775,0.065,0.775,391.808,66.104813078
0.775,0.065,0.785,972.435,66.104813078
0.775,0.065,0.795,820.273,66.104813078
0.775,0.075,0.775,314.003,66.104813078
0.775,0.085,0.775,181.191,66.104813078
0.785,-0.025,0.775,487.488,66.104813078
0.785,-0.015,0.775,230.63,66.104813078
0.785,-0.015,0.785,644.122,66.104813078
0.785,-0.015,0.805,1177.33,66.104813078
0.785,-0.005,0.785,148.087,66.104813078
0.785,-0.005,0.795,335.02,66.104813078
0.785,-0.005,0.805,372.788,66.104813078
0.785,-0.005,0.815,479.138,66.104813078
0.785,-0.005,0.825,900.816,66.104813078
0.785,-0.005,0.835,1080.06,66.104813078
0.785,0.005,0.815,31.5624,66.104813078
0.785,0.005,0.825,67.6593,66.104813078
0.785,0.005,0.835,146.891,66.104813078
0.785,0.005,0.845,317.68,66.104813078
0.785,0.005,0.855,430.785,66.104813078
0.785,0.005,0.865,512.543,66.104813078
0.785,0.015,0.835,22.6852,66.104813078
0.785,0.015,0.845,55.8686,66.104813078
0.785,0.015,0.855,173.66,66.104813078
0.785,0.015,0.865,436.876,66.104813078
0.785,0.015,0.875,649.94,66.104813078
0.785,0.015,0.885,688.863,66.104813078
0.785,0.015,0.895,614.737,66.104813078
0.785,0.025,0.855,52.6897,66.104813078
0.785,0.025,0.875,951.134,66.104813078
0.785,0.025,0.885,1150.62,66.104813078
0.785,0.025,0.895,1133.29,66.104813078
0.785,0.025,0.905,873.824,66.104813078
0.785,0.025,0.915,759.95,66.104813078
0.785,0.035,0.825,7.03251,66.104813078
0.785,0.035,0.835,6.74386,66.104813078
0.785,0.035,0.845,263.716,66.104813078
0.785,0.035,0.855,835.43,66.104813078
0.785,0.035,0.865,1192.23,66.104813078
0.785,0.035,0.875,1446.39,66.104813078
0.785,0.035,0.885,1738.35,66.104813078
0.785,0.035,0.895,1611.47,66.104813078
0.785,0.035,0.905,1373.87,66.104813078
0.785,0.035,0.915,1187.27,66.104813078
0.785,0.035,0.925,1168.82,66.104813078
0.785,0.045,0.795,27.7087,66.104813078
0.785,0.045,0.805,124.828,66.104813078
0.785,0.045,0.815,202.549,66.104813078
0.785,0.045,0.825,691.155,66.104813078
0.785,0.045,0.835,1072.2,66.104813078
0.785,0.045,0.845,1374.95,66.104813078
0.785,0.045,0.855,1439.06,66.104813078
0.785,0.045,0.865,1491.95,66.104813078
0.785,0.045,0.875,1657.91,66.104813078
0.785,0.045,0.885,1805.97,66.104813078
0.785,0.045,0.895,1892.82,66.104813078
0.785,0.045,0.905,1516.85,66.104813078
0.785,0.045,0.915,1164.59,66.104813078
0.785,0.055,0.785,149.144,66.104813078
0.785,0.055,0.795,612.688,66.104813078
0.785,0.055,0.805,873.507,66.104813078
0.785,0.055,0.815,1495.22,66.104813078
0.785,0.055,0.825,1672.17,66.104813078
0.785,0.055,0.835,1766.68,66.104813078
0.785,0.055,0.845,1796.67,66.104813078
0.785,0.055,0.855,1796.32,66.104813078
0.785,0.055,0.865,1793.29,66.104813078
0.785,0.055,0.875,1752.94,66.104813078
0.785,0.055,0.885,1688.71,66.104813078
0.785,0.065,0.785,543.323,66.104813078
0.785,0.065,0.795,1218.56,66.104813078
0.785,0.065,0.805,1423.24,66.104813078
0.785,0.065,0.815,1737.23,66.104813078
0.785,0.065,0.825,2027.06,66.104813078
0.785,0.065,0.835,2119.8,66.104813078
0.785,0.065,0.845,2024.4,66.104813078
0.785,0.065,0.855,1274.45,66.104813078
0.785,0.075,0.775,115.465,66.104813078
0.785,0.075,0.785,906.172,66.104813078
0.785,0.075,0.795,1056.91,66.104813078
0.785,0.075,0.805,819.096,66.104813078
0.785,0.075,0.815,819.428,66.104813078
0.785,0.085,0.775,182.263,66.104813078
0.785,0.095,0.775,186.572,66.104813078
0.795,-0.035,0.775,736.921,66.104813078
0.795,-0.025,0.775,94.7011,66.104813078
0.795,-0.025,0.785,1014.44,66.104813078
0.795,-0.025,0.795,1128.16,66.104813078
0.795,-0.015,0.795,165.442,66.104813078
0.795,-0.015,0.805,778.967,66.104813078
0.795,-0.015,0.815,1051.13,66.104813078
0.795,-0.015,0.825,1165.72,66.104813078
0.795,-0.015,0.835,1253.35,66.104813078
0.795,-0.015,0.845,1364.98,66.104813078
0.795,-0.015,0.855,1433.69,66.104813078
0.795,-0.005,0.825,20.6829,66.104813078
0.795,-0.005,0.835,99.0412,66.104813078
0.795,-0.005,0.845,573.748,66.104813078
0.795,-0.005,0.855,947.696,66.104813078
0.795,-0.005,0.865,1197,66.104813078
0.795,-0.005,0.875,1305.77,66.104813078
0.795,0.005,0.865,63.4642,66.104813078
0.795,0.005,0.875,157.935,66.104813078
0.795,0.005,0.885,179.999,66.104813078
0.795,0.005,0.895,297.612,66.104813078
0.795,0.005,0.905,340.223,66.104813078
0.795,0.005,0.915,366.999,66.104813078
0.795,0.005,0.925,348.073,66.104813078
0.795,0.015,0.895,47.28,66.104813078
0.795,0.015,0.905,255.53,66.104813078
0.795,0.015,0.915,410.745,66.104813078
0.795,0.015,0.925,447.975,66.104813078
0.795,0.015,0.935,717.82,66.104813078
0.795,0.015,0.945,842.05,66.104813078
0.795,0.015,0.955,893.408,66.104813078
0.795,0.015,0.965,892.896,66.104813078
0.795,0.025,0.915,224.93,66.104813078
0.795,0.025,0.925,308.195,66.104813078
0.795,0.025,0.935,842.397,66.104813078
0.795,0.025,0.945,910.757,66.104813078
0.795,0.025,0.955,1193.74,66.104813078
0.795,0.025,0.965,1393.96,66.104813078
0.795,0.025,0.975,1422.34,66.104813078
0.795,0.025,0.985,1601.77,66.104813078
0.795,0.025,0.995,1555.49,66.104813078
