X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.755,-0.065,0.765,181.979,79.834049559
0.755,-0.055,0.765,341.273,79.834049559
0.755,-0.045,0.765,481.408,79.834049559
0.755,-0.035,0.765,546.308,79.834049559
0.755,-0.025,0.765,721.142,79.834049559
0.755,-0.015,0.765,960.877,79.834049559
0.755,-0.005,0.765,1394.61,79.834049559
0.755,0.005,0.765,1045.31,79.834049559
0.755,0.015,0.765,460.846,79.834049559
0.755,0.025,0.765,195.281,79.834049559
0.755,0.035,0.765,54.614,79.834049559
0.755,0.045,0.765,91.6406,79.834049559
0.755,0.055,0.765,398.056,79.834049559
0.755,0.065,0.765,753.743,79.834049559
0.765,-0.065,0.765,200.17,79.834049559
0.765,-0.055,0.765,337.78,79.834049559
0.765,-0.045,0.765,498.46,79.834049559
0.765,-0.035,0.765,885.133,79.834049559
0.765,-0.025,0.765,1601.06,79.834049559
0.765,0.005,0.765,725.682,79.834049559
0.765,0.005,0.775,1283.32,79.834049559
0.765,0.015,0.765,252.497,79.834049559
0.765,0.015,0.775,394.694,79.834049559
0.765,0.015,0.785,963.065,79.834049559
0.765,0.025,0.775,231.364,79.834049559
0.765,0.025,0.785,1001.24,79.834049559
0.765,0.035,0.775,127.631,79.834049559
0.765,0.045,0.775,159.583,79.834049559
0.765,0.055,0.775,723.505,79.834049559
0.765,0.065,0.775,816.677,79.834049559
0.765,0.075,0.765,246.685,79.834049559
0.775,-0.065,0.765,154.641,79.834049559
0.775,-0.055,0.765,301.727,79.834049559
0.775,-0.045,0.765,941.423,79.834049559
0.775,-0.035,0.765,1727.25,79.834049559
0.775,-0.025,0.765,1475.96,79.834049559
0.775,-0.025,0.775,2112.22,79.834049559
0.775,-0.015,0.785,2126.91,79.834049559
0.775,-0.005,0.765,356.511,79.834049559
0.775,-0.005,0.785,1901.3,79.834049559
0.775,-0.005,0.795,1945.65,79.834049559
0.775,-0.005,0.805,2115.26,79.834049559
0.775,-0.005,0.815,1823.81,79.834049559
0.775,0.005,0.775,589.349,79.834049559
0.775,0.005,0.785,953.918,79.834049559
0.775,0.005,0.795,1245.7,79.834049559
0.775,0.005,0.805,1468.15,79.834049559
0.775,0.005,0.815,1381.77,79.834049559
0.775,0.005,0.825,990.464,79.834049559
0.775,0.005,0.835,1727.92,79.834049559
0.775,0.015,0.795,10.5786,79.834049559
0.775,0.015,0.805,467.825,79.834049559
0.775,0.015,0.815,992.034,79.834049559
0.775,0.015,0.825,1500.42,79.834049559
0.775,0.015,0.835,1721.29,79.834049559
0.775,0.015,0.845,1944.46,79.834049559
0.775,0.025,0.805,235.927,79.834049559
0.775,0.025,0.815,658.581,79.834049559
0.775,0.025,0.825,1537.13,79.834049559
0.775,0.025,0.835,1713.84,79.834049559
0.775,0.025,0.845,2002.98,79.834049559
0.775,0.035,0.795,27.2335,79.834049559
0.775,0.035,0.805,471.001,79.834049559
0.775,0.035,0.815,895.29,79.834049559
0.775,0.035,0.825,1738.46,79.834049559
0.775,0.035,0.835,1732.05,79.834049559
0.775,0.035,0.845,1991.84,79.834049559
0.775,0.045,0.785,38.5387,79.834049559
0.775,0.045,0.795,339.961,79.834049559
0.775,0.045,0.805,754.918,79.834049559
0.775,0.045,0.815,1077.03,79.834049559
0.775,0.045,0.825,1883.87,79.834049559
0.775,0.055,0.785,468.803,79.834049559
0.775,0.055,0.795,697.164,79.834049559
0.775,0.065,0.775,17.5252,79.834049559
0.775,0.075,0.775,639.941,79.834049559
0.785,-0.065,0.765,13.8356,79.834049559
0.785,-0.055,0.765,580.374,79.834049559
0.785,-0.045,0.765,1707.15,79.834049559
0.785,-0.035,0.765,1380.22,79.834049559
0.785,-0.035,0.775,2048.34,79.834049559
0.785,-0.025,0.765,822.929,79.834049559
