X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.765,0.005,0.775,1118.37,80.549966951
0.765,0.015,0.775,1055,80.549966951
0.765,0.025,0.775,1057.55,80.549966951
0.765,0.025,0.785,1160.33,80.549966951
0.765,0.035,0.775,872.998,80.549966951
0.765,0.035,0.785,1032.58,80.549966951
0.765,0.045,0.775,921.39,80.549966951
0.765,0.045,0.785,994.896,80.549966951
0.765,0.055,0.775,865.867,80.549966951
0.775,-0.015,0.775,1710.79,80.549966951
0.775,-0.005,0.775,1993.03,80.549966951
0.775,-0.005,0.785,1176.27,80.549966951
0.775,0.005,0.775,1578.8,80.549966951
0.775,0.005,0.785,1784.82,80.549966951
0.775,0.005,0.795,750.969,80.549966951
0.775,0.005,0.805,37.7718,80.549966951
0.775,0.005,0.815,35.5254,80.549966951
0.775,0.005,0.825,36.4523,80.549966951
0.775,0.015,0.775,667.98,80.549966951
0.775,0.015,0.785,1698.87,80.549966951
0.775,0.015,0.795,1103.1,80.549966951
0.775,0.015,0.805,759.49,80.549966951
0.775,0.015,0.815,439.682,80.549966951
0.775,0.015,0.825,177.293,80.549966951
0.775,0.015,0.835,151.375,80.549966951
0.775,0.015,0.845,787.577,80.549966951
0.775,0.025,0.785,1140.28,80.549966951
0.775,0.025,0.795,1169.5,80.549966951
0.775,0.025,0.805,1008.8,80.549966951
0.775,0.025,0.815,819.107,80.549966951
0.775,0.025,0.825,667.068,80.549966951
0.775,0.025,0.835,794.115,80.549966951
0.775,0.025,0.845,1497,80.549966951
0.775,0.025,0.855,1619.63,80.549966951
0.775,0.035,0.785,1046.26,80.549966951
0.775,0.035,0.795,1107.34,80.549966951
0.775,0.035,0.805,1038.35,80.549966951
0.775,0.035,0.815,942.948,80.549966951
0.775,0.035,0.825,796.163,80.549966951
0.775,0.035,0.835,1089.23,80.549966951
0.775,0.035,0.845,1563.41,80.549966951
0.775,0.035,0.855,1706.73,80.549966951
0.775,0.045,0.785,964.646,80.549966951
0.775,0.045,0.795,1030.91,80.549966951
0.775,0.045,0.805,966.951,80.549966951
0.775,0.045,0.815,781.186,80.549966951
0.775,0.045,0.825,621.175,80.549966951
0.775,0.045,0.835,838.404,80.549966951
0.775,0.045,0.845,1470.72,80.549966951
0.775,0.045,0.855,1435.93,80.549966951
0.775,0.055,0.785,971.598,80.549966951
0.775,0.055,0.795,960.813,80.549966951
0.775,0.055,0.805,605.514,80.549966951
0.775,0.055,0.815,374.528,80.549966951
0.775,0.055,0.825,37.5675,80.549966951
0.775,0.055,0.835,26.0672,80.549966951
0.775,0.065,0.775,48.8544,80.549966951
0.775,0.065,0.785,856.223,80.549966951
0.775,0.065,0.795,846.429,80.549966951
0.775,0.065,0.805,133.539,80.549966951
0.775,0.075,0.775,639.845,80.549966951
0.785,-0.025,0.775,1929.15,80.549966951
0.785,-0.015,0.775,1697.29,80.549966951
0.785,-0.015,0.785,2026.78,80.549966951
0.785,-0.015,0.795,554.598,80.549966951
0.785,-0.005,0.775,1321.04,80.549966951
0.785,-0.005,0.785,2220.16,80.549966951
0.785,-0.005,0.795,2002.52,80.549966951
0.785,-0.005,0.805,1802.54,80.549966951
0.785,-0.005,0.815,1684.77,80.549966951
0.785,-0.005,0.825,958.495,80.549966951
0.785,-0.005,0.835,493.711,80.549966951
0.785,-0.005,0.845,103.95,80.549966951
0.785,0.005,0.795,1855.13,80.549966951
0.785,0.005,0.805,1769.48,80.549966951
0.785,0.005,0.815,1735.08,80.549966951
0.785,0.005,0.825,1560.19,80.549966951
0.785,0.005,0.835,1209.97,80.549966951
0.785,0.005,0.845,1449.9,80.549966951
0.785,0.005,0.855,1713.68,80.549966951
0.785,0.005,0.865,1893,80.549966951
0.785,0.005,0.875,2042.69,80.549966951
0.785,0.015,0.815,987.706,80.549966951
0.785,0.015,0.825,1231.54,80.549966951
0.785,0.015,0.835,1324.21,80.549966951
0.785,0.015,0.845,2340.4,80.549966951
0.785,0.015,0.855,2618.72,80.549966951
0.785,0.015,0.865,2292.93,80.549966951
0.785,0.015,0.875,2900.88,80.549966951
0.785,0.015,0.885,3067.4,80.549966951
0.785,0.015,0.895,3181.7,80.549966951
0.785,0.015,0.905,3209.87,80.549966951
0.785,0.025,0.835,1273.92,80.549966951
0.785,0.025,0.845,2344.02,80.549966951
0.785,0.025,0.855,2628.99,80.549966951
0.785,0.025,0.865,3051.51,80.549966951
0.785,0.025,0.875,3159.31,80.549966951
0.785,0.025,0.885,3383.89,80.549966951
0.785,0.025,0.895,3565.14,80.549966951
0.785,0.025,0.905,3703.47,80.549966951
0.785,0.025,0.915,3427.29,80.549966951
0.785,0.025,0.925,1554.48,80.549966951
0.785,0.035,0.835,1238.89,80.549966951
0.785,0.035,0.845,1812.46,80.549966951
0.785,0.035,0.855,2611.7,80.549966951
0.785,0.035,0.865,3320.89,80.549966951
0.785,0.035,0.875,3344.27,80.549966951
