X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.765,0.005,0.775,621.801,56.798388182
0.765,0.015,0.775,517.665,56.798388182
0.765,0.025,0.775,493.24,56.798388182
0.765,0.035,0.775,477.081,56.798388182
0.765,0.035,0.785,787.714,56.798388182
0.765,0.045,0.775,534.108,56.798388182
0.765,0.045,0.785,749.292,56.798388182
0.765,0.055,0.775,506.396,56.798388182
0.765,0.065,0.775,521.791,56.798388182
0.775,-0.015,0.775,621.712,56.798388182
0.775,-0.005,0.775,377.41,56.798388182
0.775,-0.005,0.785,987.841,56.798388182
0.775,-0.005,0.795,1043.98,56.798388182
0.775,0.005,0.775,84.8838,56.798388182
0.775,0.005,0.785,840.819,56.798388182
0.775,0.005,0.795,1069.78,56.798388182
0.775,0.005,0.805,1129.38,56.798388182
0.775,0.015,0.785,437.718,56.798388182
0.775,0.015,0.795,1022.62,56.798388182
0.775,0.015,0.805,1126.51,56.798388182
0.775,0.015,0.815,1229.11,56.798388182
0.775,0.015,0.825,1346.24,56.798388182
0.775,0.015,0.835,1230.12,56.798388182
0.775,0.025,0.785,242.947,56.798388182
0.775,0.025,0.795,697.919,56.798388182
0.775,0.025,0.805,952.862,56.798388182
0.775,0.025,0.815,1169,56.798388182
0.775,0.025,0.825,1251.96,56.798388182
0.775,0.025,0.835,1053.06,56.798388182
0.775,0.025,0.845,1000.99,56.798388182
0.775,0.035,0.785,415.402,56.798388182
0.775,0.035,0.795,831.163,56.798388182
0.775,0.035,0.805,937.546,56.798388182
0.775,0.035,0.815,1054.99,56.798388182
0.775,0.035,0.825,1015.73,56.798388182
0.775,0.035,0.835,958.603,56.798388182
0.775,0.035,0.845,829.506,56.798388182
0.775,0.045,0.785,547.884,56.798388182
0.775,0.045,0.795,457.073,56.798388182
0.775,0.045,0.805,458.321,56.798388182
0.775,0.045,0.815,467.095,56.798388182
0.775,0.045,0.825,556.225,56.798388182
0.775,0.045,0.835,505.261,56.798388182
0.775,0.045,0.845,250.161,56.798388182
0.775,0.055,0.775,22.1887,56.798388182
0.775,0.055,0.785,587.068,56.798388182
0.775,0.055,0.795,597.998,56.798388182
0.775,0.055,0.805,643.793,56.798388182
0.775,0.055,0.815,535.237,56.798388182
0.775,0.055,0.825,298.862,56.798388182
0.775,0.065,0.775,191.88,56.798388182
0.775,0.065,0.785,575.635,56.798388182
0.775,0.065,0.795,428.895,56.798388182
0.775,0.075,0.775,510.589,56.798388182
0.785,-0.025,0.775,442.569,56.798388182
0.785,-0.015,0.775,252.52,56.798388182
0.785,-0.015,0.785,819.36,56.798388182
0.785,-0.015,0.795,851.893,56.798388182
0.785,-0.015,0.805,959.801,56.798388182
0.785,-0.015,0.815,1046.09,56.798388182
0.785,-0.005,0.785,61.3375,56.798388182
0.785,-0.005,0.795,288.777,56.798388182
0.785,-0.005,0.805,797.226,56.798388182
0.785,-0.005,0.815,1050.82,56.798388182
0.785,-0.005,0.825,1273.11,56.798388182
0.785,-0.005,0.835,1358.1,56.798388182
0.785,-0.005,0.845,1262.12,56.798388182
0.785,0.005,0.825,441.851,56.798388182
0.785,0.005,0.835,1160.61,56.798388182
0.785,0.005,0.845,1239.25,56.798388182
0.785,0.005,0.855,1256.02,56.798388182
0.785,0.005,0.865,1277.87,56.798388182
0.785,0.005,0.875,1123.69,56.798388182
0.785,0.015,0.835,36.9912,56.798388182
0.785,0.015,0.845,586.359,56.798388182
0.785,0.015,0.855,1176.39,56.798388182
0.785,0.015,0.865,1088.53,56.798388182
0.785,0.015,0.875,857.842,56.798388182
0.785,0.015,0.885,576.423,56.798388182
0.785,0.015,0.895,599.435,56.798388182
0.785,0.015,0.905,520.323,56.798388182
0.785,0.015,0.925,328.019,56.798388182
0.785,0.025,0.835,29.6019,56.798388182
0.785,0.025,0.845,106.587,56.798388182
0.785,0.025,0.855,610.903,56.798388182
0.785,0.025,0.865,836.429,56.798388182
0.785,0.025,0.875,732.039,56.798388182
0.785,0.025,0.885,504.186,56.798388182
0.785,0.025,0.895,530.117,56.798388182
0.785,0.025,0.925,492.557,56.798388182
0.785,0.035,0.835,197.611,56.798388182
0.785,0.035,0.845,274.219,56.798388182
0.785,0.035,0.855,604.53,56.798388182
0.785,0.035,0.865,750.229,56.798388182
0.785,0.035,0.875,690.673,56.798388182
0.785,0.035,0.885,553.719,56.798388182
0.785,0.035,0.895,521.363,56.798388182
0.785,0.035,0.915,481.685,56.798388182
0.785,0.035,0.925,513.916,56.798388182
0.785,0.045,0.825,226.735,56.798388182
0.785,0.045,0.835,372.073,56.798388182
0.785,0.045,0.845,453.29,56.798388182
0.785,0.045,0.855,429.755,56.798388182
0.785,0.045,0.865,368.034,56.798388182
0.785,0.045,0.875,377.37,56.798388182
0.785,0.045,0.885,436.742,56.798388182
0.785,0.045,0.895,509.705,56.798388182
0.785,0.045,0.905,628.414,56.798388182
0.785,0.055,0.815,646.551,56.798388182
0.785,0.055,0.825,608.291,56.798388182
0.785,0.055,0.835,630.493,56.798388182
0.785,0.055,0.845,719.834,56.798388182
0.785,0.055,0.855,760.077,56.798388182
0.785,0.055,0.865,703.387,56.798388182
0.785,0.055,0.875,652.92,56.798388182
0.785,0.055,0.885,465.87,56.798388182
0.785,0.065,0.785,580.714,56.798388182
0.785,0.065,0.795,624.675,56.798388182
0.785,0.065,0.805,669.461,56.798388182
0.785,0.065,0.815,725.601,56.798388182
0.785,0.065,0.825,788.287,56.798388182
0.785,0.065,0.835,686.768,56.798388182
0.785,0.065,0.845,683.159,56.798388182
0.785,0.075,0.775,130.416,56.798388182
0.785,0.075,0.785,600.423,56.798388182
0.785,0.075,0.795,607.865,56.798388182
0.785,0.075,0.805,499.502,56.798388182
0.785,0.075,0.815,457.815,56.798388182
0.785,0.075,0.825,191.543,56.798388182
0.795,-0.035,0.775,312.374,56.798388182
0.795,-0.025,0.775,48.8327,56.798388182
0.795,-0.025,0.785,422.705,56.798388182
0.795,-0.025,0.795,316.7,56.798388182
0.795,-0.025,0.805,395.231,56.798388182
0.795,-0.015,0.795,18.4627,56.798388182
0.795,-0.015,0.805,183.62,56.798388182
0.795,-0.015,0.815,405.518,56.798388182
0.795,-0.015,0.825,635.212,56.798388182
0.795,-0.015,0.835,774.567,56.798388182
0.795,-0.005,0.845,167.395,56.798388182
0.795,-0.005,0.855,659.16,56.798388182
0.795,-0.005,0.865,1032.83,56.798388182
0.795,-0.005,0.875,1062.31,56.798388182
0.795,-0.005,0.885,995.858,56.798388182
0.795,-0.005,0.895,588.105,56.798388182
0.795,-0.005,0.905,602.017,56.798388182
0.795,0.005,0.875,36.4841,56.798388182
0.795,0.005,0.885,48.943,56.798388182
0.795,0.005,0.895,273.94,56.798388182
0.795,0.005,0.905,564.8,56.798388182
