X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.765,0.015,0.775,330.371,32.638743579
0.765,0.025,0.775,224.031,32.638743579
0.765,0.035,0.775,176.591,32.638743579
0.765,0.045,0.775,168.799,32.638743579
0.765,0.055,0.775,213.628,32.638743579
0.765,0.065,0.775,172.68,32.638743579
0.775,-0.015,0.775,314.344,32.638743579
0.775,-0.005,0.775,283.253,32.638743579
0.775,0.005,0.775,156.991,32.638743579
0.775,0.005,0.785,388.588,32.638743579
0.775,0.005,0.795,436.628,32.638743579
0.775,0.005,0.805,404.965,32.638743579
0.775,0.015,0.775,74.3126,32.638743579
0.775,0.015,0.785,303.708,32.638743579
0.775,0.015,0.795,349.4,32.638743579
0.775,0.015,0.805,377.319,32.638743579
0.775,0.015,0.815,381.612,32.638743579
0.775,0.025,0.775,34.5677,32.638743579
0.775,0.025,0.785,194.601,32.638743579
0.775,0.025,0.795,241.095,32.638743579
0.775,0.025,0.805,265.11,32.638743579
0.775,0.025,0.815,324.353,32.638743579
0.775,0.025,0.825,350.384,32.638743579
0.775,0.025,0.835,383.321,32.638743579
0.775,0.025,0.845,387.918,32.638743579
0.775,0.035,0.775,16.8331,32.638743579
0.775,0.035,0.785,165.87,32.638743579
0.775,0.035,0.795,190.155,32.638743579
0.775,0.035,0.805,197.362,32.638743579
0.775,0.035,0.815,209.598,32.638743579
0.775,0.035,0.825,233.702,32.638743579
0.775,0.035,0.835,235.833,32.638743579
0.775,0.045,0.775,96.1169,32.638743579
0.775,0.045,0.785,237.818,32.638743579
0.775,0.045,0.795,255.738,32.638743579
0.775,0.045,0.805,195.623,32.638743579
0.775,0.045,0.815,196.637,32.638743579
0.775,0.045,0.825,175.912,32.638743579
0.775,0.045,0.835,168.262,32.638743579
0.775,0.055,0.775,217.871,32.638743579
0.775,0.055,0.785,237.185,32.638743579
0.775,0.055,0.795,236.9,32.638743579
0.775,0.055,0.805,152.363,32.638743579
0.775,0.055,0.815,117.239,32.638743579
0.775,0.065,0.775,217.122,32.638743579
0.775,0.065,0.785,219.425,32.638743579
0.775,0.065,0.795,46.3881,32.638743579
0.775,0.065,0.805,28.0306,32.638743579
0.775,0.075,0.775,211.639,32.638743579
0.785,-0.025,0.775,270.465,32.638743579
0.785,-0.015,0.775,177.517,32.638743579
0.785,-0.015,0.785,314.204,32.638743579
0.785,-0.005,0.785,257.131,32.638743579
0.785,-0.005,0.795,327.965,32.638743579
0.785,-0.005,0.805,374.905,32.638743579
0.785,-0.005,0.815,445.695,32.638743579
0.785,-0.005,0.825,438.934,32.638743579
0.785,0.005,0.795,74.6812,32.638743579
0.785,0.005,0.805,113.574,32.638743579
0.785,0.005,0.815,261.465,32.638743579
0.785,0.005,0.825,317.42,32.638743579
0.785,0.005,0.835,414.181,32.638743579
0.785,0.005,0.845,472.297,32.638743579
0.785,0.005,0.855,554.033,32.638743579
0.785,0.015,0.805,14.3379,32.638743579
0.785,0.015,0.815,40.1531,32.638743579
0.785,0.015,0.825,102.136,32.638743579
0.785,0.015,0.835,264.373,32.638743579
0.785,0.015,0.845,336.248,32.638743579
0.785,0.015,0.855,471.878,32.638743579
0.785,0.015,0.865,544.745,32.638743579
0.785,0.015,0.875,608.995,32.638743579
0.785,0.025,0.815,3.58697,32.638743579
0.785,0.025,0.825,35.3447,32.638743579
0.785,0.025,0.835,116.254,32.638743579
0.785,0.025,0.845,271.534,32.638743579
0.785,0.025,0.855,369.262,32.638743579
0.785,0.025,0.865,490.074,32.638743579
0.785,0.025,0.875,554.774,32.638743579
0.785,0.025,0.885,610.218,32.638743579
0.785,0.035,0.805,7.4794,32.638743579
0.785,0.035,0.815,33.5613,32.638743579
0.785,0.035,0.825,58.1425,32.638743579
0.785,0.035,0.835,101.3,32.638743579
0.785,0.035,0.845,241.46,32.638743579
0.785,0.035,0.855,375.242,32.638743579
0.785,0.035,0.865,421.422,32.638743579
0.785,0.035,0.875,491.767,32.638743579
0.785,0.035,0.885,534.184,32.638743579
0.785,0.035,0.895,564.144,32.638743579
0.785,0.035,0.905,617.508,32.638743579
0.785,0.045,0.805,118.549,32.638743579
0.785,0.045,0.815,165.47,32.638743579
0.785,0.045,0.825,168.052,32.638743579
0.785,0.045,0.835,188.948,32.638743579
0.785,0.045,0.845,217.335,32.638743579
0.785,0.045,0.855,243.145,32.638743579
0.785,0.045,0.865,316.59,32.638743579
0.785,0.045,0.875,334.401,32.638743579
0.785,0.045,0.885,322.795,32.638743579
0.785,0.045,0.895,335.277,32.638743579
0.785,0.055,0.795,197.776,32.638743579
0.785,0.055,0.805,223.744,32.638743579
0.785,0.055,0.815,237.229,32.638743579
0.785,0.055,0.825,190.448,32.638743579
0.785,0.055,0.835,203.504,32.638743579
0.785,0.055,0.845,206.654,32.638743579
0.785,0.055,0.855,206.162,32.638743579
0.785,0.055,0.865,196.811,32.638743579
0.785,0.055,0.875,150.361,32.638743579
0.785,0.055,0.885,115.775,32.638743579
0.785,0.065,0.775,170.956,32.638743579
0.785,0.065,0.785,215.895,32.638743579
0.785,0.065,0.795,206.317,32.638743579
0.785,0.065,0.805,161.101,32.638743579
0.785,0.065,0.815,157.365,32.638743579
0.785,0.065,0.825,133.891,32.638743579
0.785,0.065,0.835,134.491,32.638743579
0.785,0.065,0.845,95.0866,32.638743579
0.785,0.065,0.855,47.4291,32.638743579
0.785,0.075,0.775,191.795,32.638743579
0.785,0.075,0.785,187.508,32.638743579
0.785,0.075,0.795,69.6492,32.638743579
0.785,0.075,0.805,37.6195,32.638743579
0.785,0.075,0.815,21.3697,32.638743579
0.785,0.075,0.825,3.52097,32.638743579
0.785,0.085,0.775,142.511,32.638743579
0.785,0.095,0.775,45.3314,32.638743579
0.795,-0.035,0.775,259.689,32.638743579
0.795,-0.025,0.775,117.814,32.638743579
0.795,-0.025,0.785,298.766,32.638743579
0.795,-0.025,0.795,320.84,32.638743579
0.795,-0.025,0.805,348.227,32.638743579
0.795,-0.015,0.785,49.064,32.638743579
0.795,-0.015,0.795,164.426,32.638743579
0.795,-0.015,0.805,301.806,32.638743579
0.795,-0.015,0.815,369.268,32.638743579
0.795,-0.015,0.825,380.314,32.638743579
0.795,-0.005,0.825,63.7972,32.638743579
0.795,-0.005,0.835,113.727,32.638743579
0.795,-0.005,0.845,286.816,32.638743579
0.795,-0.005,0.855,517.203,32.638743579
0.795,-0.005,0.865,662.842,32.638743579
0.795,-0.005,0.875,758.402,32.638743579
0.795,0.005,0.855,11.8828,32.638743579
0.795,0.005,0.865,139.151,32.638743579
0.795,0.005,0.875,395.07,32.638743579
0.795,0.005,0.885,605.297,32.638743579
0.795,0.005,0.895,829.336,32.638743579
0.795,0.005,0.905,974.08,32.638743579
0.795,0.015,0.885,31.238,32.638743579
0.795,0.015,0.895,312.48,32.638743579
0.795,0.015,0.905,622.317,32.638743579
0.795,0.015,0.915,791.539,32.638743579
0.795,0.015,0.925,981.718,32.638743579
0.795,0.015,0.935,1097.08,32.638743579
0.795,0.015,0.945,1287.22,32.638743579
0.795,0.015,0.955,1412.91,32.638743579
0.795,0.025,0.895,20.0467,32.638743579
0.795,0.025,0.905,170.382,32.638743579
0.795,0.025,0.915,450.336,32.638743579
0.795,0.025,0.925,659.436,32.638743579
0.795,0.025,0.935,863.561,32.638743579
