X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.765,-0.065,0.765,1.22876,79.626422034
0.765,-0.055,0.765,1.24925,79.626422034
0.765,-0.015,0.765,2.94688,79.626422034
0.765,-0.005,0.765,3.01524,79.626422034
0.765,0.015,0.765,3.10511,79.626422034
0.775,-0.065,0.765,0.725784,79.626422034
0.775,-0.055,0.765,1.24137,79.626422034
0.775,-0.045,0.765,1.27568,79.626422034
0.775,-0.035,0.765,25.487,79.626422034
0.775,-0.025,0.765,29.6322,79.626422034
0.775,-0.015,0.765,29.3264,79.626422034
0.775,-0.005,0.765,29.9098,79.626422034
0.775,0.005,0.765,101.473,79.626422034
0.775,0.015,0.765,141.732,79.626422034
0.775,0.025,0.765,152.625,79.626422034
0.775,0.035,0.765,29.666,79.626422034
0.785,-0.075,0.765,3.25667,79.626422034
0.785,-0.065,0.765,8.29702,79.626422034
0.785,-0.055,0.765,19.1901,79.626422034
0.785,-0.045,0.765,25.5801,79.626422034
0.785,-0.045,0.775,9.19604,79.626422034
0.785,-0.035,0.765,25.4622,79.626422034
0.785,-0.035,0.775,26.2456,79.626422034
0.785,-0.025,0.765,169.85,79.626422034
0.785,-0.025,0.775,30.8298,79.626422034
0.785,-0.015,0.765,446.43,79.626422034
0.785,-0.015,0.775,48.9654,79.626422034
0.785,-0.005,0.765,688.084,79.626422034
0.785,-0.005,0.775,435.381,79.626422034
0.785,0.005,0.765,745.799,79.626422034
0.785,0.015,0.765,767.753,79.626422034
0.785,0.025,0.765,768.685,79.626422034
0.785,0.035,0.765,730.67,79.626422034
0.785,0.045,0.765,689.476,79.626422034
0.785,0.055,0.765,585.43,79.626422034
0.785,0.065,0.765,319.195,79.626422034
0.795,-0.075,0.765,7.69353,79.626422034
0.795,-0.065,0.765,21.9301,79.626422034
0.795,-0.055,0.765,26.0652,79.626422034
0.795,-0.055,0.775,11.2523,79.626422034
0.795,-0.045,0.765,21.9685,79.626422034
0.795,-0.045,0.775,27.0207,79.626422034
0.795,-0.035,0.765,66.0329,79.626422034
0.795,-0.035,0.775,26.5691,79.626422034
0.795,-0.025,0.765,331.552,79.626422034
0.795,-0.025,0.775,206.991,79.626422034
0.795,-0.015,0.765,460.331,79.626422034
0.795,-0.015,0.775,370.452,79.626422034
0.795,-0.005,0.765,462.34,79.626422034
0.795,-0.005,0.775,497.358,79.626422034
0.795,0.005,0.765,877.167,79.626422034
0.795,0.005,0.775,628.242,79.626422034
0.795,0.015,0.765,1074.8,79.626422034
0.795,0.015,0.775,774.286,79.626422034
0.795,0.015,0.785,441.388,79.626422034
0.795,0.025,0.765,946.97,79.626422034
0.795,0.025,0.775,772.856,79.626422034
0.795,0.025,0.785,366.571,79.626422034
0.795,0.035,0.765,473.129,79.626422034
0.795,0.035,0.775,620.96,79.626422034
0.795,0.035,0.785,254.475,79.626422034
0.795,0.045,0.765,346.406,79.626422034
0.795,0.045,0.775,512.326,79.626422034
0.795,0.055,0.765,441.11,79.626422034
0.795,0.055,0.775,405.222,79.626422034
0.795,0.065,0.765,393.677,79.626422034
0.795,0.065,0.775,254.973,79.626422034
0.795,0.075,0.765,234.437,79.626422034
0.805,-0.085,0.765,7.00881,79.626422034
0.805,-0.075,0.765,25.2848,79.626422034
0.805,-0.065,0.765,31.6808,79.626422034
0.805,-0.025,0.765,328.575,79.626422034
0.805,-0.015,0.765,1294.87,79.626422034
0.805,-0.015,0.775,1348.08,79.626422034
0.805,-0.005,0.765,1380.1,79.626422034
0.805,-0.005,0.775,1594.98,79.626422034
0.805,-0.005,0.785,1483.76,79.626422034
0.805,0.005,0.765,1344.98,79.626422034
0.805,0.005,0.775,1546.26,79.626422034
0.805,0.005,0.785,1529.12,79.626422034
0.805,0.005,0.795,2084.92,79.626422034
0.805,0.005,0.805,2426.93,79.626422034
0.805,0.005,0.815,2192.1,79.626422034
0.805,0.015,0.775,1388.67,79.626422034
0.805,0.015,0.785,1696.82,79.626422034
0.805,0.015,0.795,2268.55,79.626422034
0.805,0.015,0.805,2375.54,79.626422034
0.805,0.015,0.815,2864.98,79.626422034
0.805,0.015,0.825,2601.57,79.626422034
0.805,0.015,0.835,2313.76,79.626422034
0.805,0.025,0.775,1315.1,79.626422034
0.805,0.025,0.785,1772.25,79.626422034
0.805,0.025,0.795,2135.62,79.626422034
0.805,0.025,0.805,2269.14,79.626422034
0.805,0.025,0.815,2857.29,79.626422034
0.805,0.025,0.825,2744.09,79.626422034
0.805,0.025,0.835,2537.73,79.626422034
0.805,0.035,0.775,1010.75,79.626422034
0.805,0.035,0.785,1722.94,79.626422034
0.805,0.035,0.795,1658.14,79.626422034
0.805,0.035,0.805,1764.14,79.626422034
0.805,0.035,0.815,2131.4,79.626422034
0.805,0.035,0.825,2137.94,79.626422034
0.805,0.035,0.835,1854.97,79.626422034
0.805,0.045,0.775,684.053,79.626422034
0.805,0.045,0.785,1034.9,79.626422034
0.805,0.045,0.795,774.217,79.626422034
0.805,0.045,0.805,563.082,79.626422034
0.805,0.045,0.815,664.603,79.626422034
0.805,0.045,0.825,870.651,79.626422034
0.805,0.045,0.835,740.823,79.626422034
0.805,0.055,0.765,285.325,79.626422034
0.805,0.055,0.775,321.901,79.626422034
0.805,0.055,0.785,14.7229,79.626422034
0.805,0.055,0.795,67.7945,79.626422034
0.805,0.055,0.805,261.999,79.626422034
0.805,0.065,0.765,69.8533,79.626422034
0.805,0.065,0.775,130.851,79.626422034
0.805,0.075,0.765,9.03566,79.626422034
0.815,-0.085,0.765,8.76071,79.626422034
0.815,-0.075,0.765,22.1212,79.626422034
0.815,-0.065,0.765,19.2208,79.626422034
