X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.755,-0.085,0.765,216.667,61.641261495
0.755,-0.075,0.765,291.603,61.641261495
0.755,-0.065,0.765,284.372,61.641261495
0.755,-0.055,0.765,234.182,61.641261495
0.755,-0.045,0.765,60.2717,61.641261495
0.755,0.035,0.765,3.22662,61.641261495
0.755,0.045,0.765,53.7877,61.641261495
0.755,0.055,0.765,65.6671,61.641261495
0.755,0.065,0.765,80.5995,61.641261495
0.765,-0.085,0.765,189.698,61.641261495
0.765,-0.075,0.765,310.011,61.641261495
0.765,-0.065,0.765,332.298,61.641261495
0.765,-0.055,0.765,279.374,61.641261495
0.765,-0.045,0.765,73.9278,61.641261495
0.765,-0.035,0.775,251.44,61.641261495
0.765,-0.025,0.775,20.0781,61.641261495
0.765,-0.015,0.775,19.1717,61.641261495
0.765,-0.005,0.775,17.1233,61.641261495
0.765,0.005,0.775,25.7049,61.641261495
0.765,0.025,0.775,12.8254,61.641261495
0.765,0.035,0.775,78.5589,61.641261495
0.765,0.045,0.765,6.15158,61.641261495
0.765,0.055,0.765,60.9605,61.641261495
0.775,-0.085,0.765,69.1693,61.641261495
0.775,-0.075,0.765,188.818,61.641261495
0.775,-0.065,0.765,228.885,61.641261495
0.775,-0.055,0.765,173.53,61.641261495
0.775,-0.055,0.775,104.803,61.641261495
0.775,-0.045,0.765,18.7715,61.641261495
0.775,-0.045,0.775,81.9449,61.641261495
0.775,-0.035,0.775,32.4276,61.641261495
0.775,-0.035,0.785,84.0184,61.641261495
0.775,-0.025,0.775,34.3263,61.641261495
0.775,-0.025,0.785,223.162,61.641261495
0.775,-0.025,0.795,476.198,61.641261495
0.775,-0.025,0.805,1256.57,61.641261495
0.775,-0.015,0.775,17.4274,61.641261495
0.775,-0.015,0.785,149.674,61.641261495
0.775,-0.015,0.795,435.991,61.641261495
0.775,-0.015,0.805,1272,61.641261495
0.775,-0.015,0.815,1909.31,61.641261495
0.775,-0.015,0.825,2254.82,61.641261495
0.775,-0.005,0.795,18.7868,61.641261495
0.775,-0.005,0.805,665.273,61.641261495
0.775,-0.005,0.815,1830.08,61.641261495
0.775,-0.005,0.825,2241.32,61.641261495
0.775,0.005,0.815,745.697,61.641261495
0.775,0.005,0.825,1628.38,61.641261495
0.775,0.015,0.815,46.2797,61.641261495
0.775,0.055,0.775,149.344,61.641261495
0.775,0.065,0.765,79.6231,61.641261495
0.785,-0.055,0.765,38.2479,61.641261495
0.785,-0.055,0.775,12.3801,61.641261495
0.785,-0.045,0.775,82.5449,61.641261495
0.785,-0.045,0.785,67.6621,61.641261495
0.785,-0.045,0.795,15.5174,61.641261495
0.785,-0.035,0.775,95.4807,61.641261495
0.785,-0.035,0.785,216.381,61.641261495
0.785,-0.035,0.795,446.911,61.641261495
0.785,-0.035,0.805,1192.85,61.641261495
0.785,-0.035,0.815,1826.36,61.641261495
0.785,-0.035,0.825,1702.11,61.641261495
0.785,-0.035,0.835,680.67,61.641261495
0.785,-0.025,0.795,459.154,61.641261495
0.785,-0.025,0.805,1452.49,61.641261495
0.785,-0.025,0.815,1924.52,61.641261495
0.785,-0.025,0.825,2309.39,61.641261495
0.785,-0.025,0.835,2581.25,61.641261495
0.785,-0.025,0.845,2887.2,61.641261495
0.785,-0.025,0.855,2765.14,61.641261495
0.785,-0.025,0.865,2314.59,61.641261495
0.785,-0.025,0.875,1746.71,61.641261495
0.785,-0.025,0.885,756.563,61.641261495
0.785,-0.025,0.905,65.6122,61.641261495
0.785,-0.015,0.795,6.84231,61.641261495
0.785,-0.015,0.805,14.4066,61.641261495
0.785,-0.015,0.815,445.981,61.641261495
0.785,-0.015,0.825,1583.75,61.641261495
0.785,-0.015,0.835,2290.96,61.641261495
0.785,-0.015,0.845,2780.54,61.641261495
0.785,-0.015,0.855,3171.15,61.641261495
0.785,-0.015,0.865,3125.24,61.641261495
0.785,-0.015,0.875,2529.21,61.641261495
0.785,-0.015,0.905,1852.41,61.641261495
0.785,-0.015,0.915,1513.29,61.641261495
0.785,-0.005,0.845,96.4304,61.641261495
0.785,-0.005,0.855,984.535,61.641261495
0.785,-0.005,0.865,1854.75,61.641261495
0.785,-0.005,0.875,2408.53,61.641261495
0.785,-0.005,0.885,2549.65,61.641261495
0.785,-0.005,0.895,2608.53,61.641261495
0.785,-0.005,0.905,2361.18,61.641261495
0.785,-0.005,0.915,2085.71,61.641261495
0.785,-0.005,0.925,1750.87,61.641261495
0.785,0.005,0.865,29.6859,61.641261495
0.785,0.005,0.875,805.302,61.641261495
0.785,0.005,0.885,1851,61.641261495
0.785,0.005,0.895,2232.06,61.641261495
0.785,0.005,0.905,2651.58,61.641261495
0.785,0.015,0.865,10.0565,61.641261495
0.785,0.015,0.875,394.74,61.641261495
0.785,0.015,0.885,1490.56,61.641261495
0.785,0.015,0.895,2020.08,61.641261495
0.785,0.025,0.865,5.77281,61.641261495
0.785,0.055,0.775,4.77811,61.641261495
0.785,0.065,0.765,8.47177,61.641261495
0.795,-0.065,0.765,20.4034,61.641261495
0.795,-0.055,0.775,63.8252,61.641261495
0.795,-0.045,0.785,133.471,61.641261495
0.795,-0.045,0.795,339.205,61.641261495
0.795,-0.045,0.805,499.296,61.641261495
0.795,-0.045,0.815,381.637,61.641261495
0.795,-0.045,0.825,46.1911,61.641261495
0.795,-0.035,0.805,1229.36,61.641261495
0.795,-0.035,0.815,1875.9,61.641261495
0.795,-0.035,0.825,2164.04,61.641261495
0.795,-0.035,0.835,2324.37,61.641261495
0.795,-0.035,0.845,1926.5,61.641261495
0.795,-0.035,0.855,1710.86,61.641261495
0.795,-0.035,0.865,1158.05,61.641261495
0.795,-0.035,0.875,561.226,61.641261495
0.795,-0.035,0.885,171.824,61.641261495
0.795,-0.035,0.895,46.9319,61.641261495
0.795,-0.025,0.855,2082.41,61.641261495
0.795,-0.025,0.865,2074.47,61.641261495
0.795,-0.025,0.875,1971.92,61.641261495
0.795,-0.025,0.905,1204.7,61.641261495
0.795,-0.025,0.915,783.217,61.641261495
0.795,-0.025,0.925,303.033,61.641261495
0.795,-0.025,0.935,104.768,61.641261495
0.795,-0.025,0.945,7.89536,61.641261495
0.795,-0.025,0.955,24.0413,61.641261495
0.795,-0.015,0.875,1129.02,61.641261495
0.795,-0.015,0.905,1574.6,61.641261495
0.795,-0.015,0.915,1556.49,61.641261495
0.795,-0.015,0.925,1365.32,61.641261495
0.795,-0.015,0.935,1024.87,61.641261495
0.795,-0.015,0.945,594.529,61.641261495
0.795,-0.015,0.955,386.353,61.641261495
0.795,-0.015,0.965,204.939,61.641261495
0.795,-0.015,0.975,97.0947,61.641261495
0.795,-0.005,0.885,10.0185,61.641261495
0.795,-0.005,0.895,84.3287,61.641261495
0.795,-0.005,0.905,117.486,61.641261495
0.795,-0.005,0.915,565.252,61.641261495
0.795,-0.005,0.925,974.976,61.641261495
0.795,-0.005,0.935,970.157,61.641261495
0.795,-0.005,0.945,891.929,61.641261495
0.795,-0.005,0.955,579.626,61.641261495
0.795,-0.005,0.965,472.322,61.641261495
0.795,-0.005,0.975,397.315,61.641261495
0.795,-0.005,0.985,399.525,61.641261495
0.795,0.005,0.895,23.2427,61.641261495
0.795,0.005,0.905,43.1257,61.641261495
0.795,0.005,0.915,60.0896,61.641261495
0.795,0.005,0.925,101.551,61.641261495
0.795,0.005,0.935,116.901,61.641261495
0.795,0.005,0.945,164.43,61.641261495
0.795,0.005,0.955,256.384,61.641261495
0.795,0.005,0.965,403.506,61.641261495
0.795,0.005,0.975,346.449,61.641261495
0.795,0.005,0.985,464.103,61.641261495
0.795,0.015,0.905,23.4401,61.641261495
0.795,0.015,0.915,53.4076,61.641261495
0.795,0.015,0.925,106.14,61.641261495
0.795,0.015,0.935,60.7253,61.641261495
0.795,0.015,0.945,32.4451,61.641261495
0.795,0.015,0.955,53.8072,61.641261495
0.795,0.015,0.965,188.256,61.641261495
0.795,0.025,0.915,5.45851,61.641261495
0.795,0.065,0.775,36.9966,61.641261495
0.805,-0.065,0.775,16.8763,61.641261495
0.805,-0.045,0.835,578.086,61.641261495
0.805,-0.045,0.845,243.117,61.641261495
0.805,-0.045,0.855,31.0387,61.641261495
0.805,-0.045,0.865,2.84173,61.641261495
0.805,-0.035,0.865,1320.92,61.641261495
0.805,-0.035,0.875,1154.52,61.641261495
0.805,-0.035,0.885,791.459,61.641261495
0.805,-0.035,0.895,222.543,61.641261495
0.805,-0.035,0.905,60.1759,61.641261495
0.805,-0.035,0.915,1.09364,61.641261495
0.805,-0.025,0.915,421.935,61.641261495
0.805,-0.025,0.925,297.579,61.641261495
0.805,-0.025,0.935,218.504,61.641261495
0.805,-0.025,0.945,130.104,61.641261495
0.805,-0.025,0.955,22.3878,61.641261495
0.805,-0.015,0.945,205.147,61.641261495
0.805,-0.015,0.955,88.9557,61.641261495
0.805,-0.015,0.965,8.41525,61.641261495
0.805,-0.015,0.975,23.3795,61.641261495
0.805,-0.015,0.995,54.5851,61.641261495
0.805,-0.015,1.015,34.7057,61.641261495
0.805,-0.005,0.945,29.0542,61.641261495
0.805,-0.005,0.955,16.2128,61.641261495
0.805,-0.005,0.965,5.14648,61.641261495
0.805,-0.005,0.975,5.40913,61.641261495
0.805,-0.005,0.995,48.8987,61.641261495
0.805,-0.005,1.005,27.417,61.641261495
0.805,-0.005,1.015,53.5463,61.641261495
0.805,-0.005,1.025,48.1034,61.641261495
0.805,-0.005,1.035,1.32135,61.641261495
0.805,0.005,0.935,9.90315,61.641261495
0.805,0.005,0.955,19.2708,61.641261495
0.805,0.005,0.965,47.328,61.641261495
0.805,0.005,0.975,4.14251,61.641261495
0.805,0.005,1.025,9.85692,61.641261495
0.805,0.005,1.035,9.92574,61.641261495
0.805,0.005,1.055,86.3498,61.641261495
0.805,0.015,0.915,16.362,61.641261495
0.805,0.015,0.925,51.9259,61.641261495
0.805,0.015,0.935,10.0508,61.641261495
0.805,0.015,0.955,14.5017,61.641261495
0.805,0.015,0.965,27.6517,61.641261495
0.805,0.015,0.975,12.5609,61.641261495
0.805,0.015,1.005,4.88047,61.641261495
0.805,0.015,1.015,53.276,61.641261495
0.805,0.035,0.915,8.52395,61.641261495
0.805,0.035,0.925,9.34864,61.641261495
0.805,0.035,0.935,66.3403,61.641261495
0.805,0.045,0.865,4.0396,61.641261495
0.805,0.045,0.875,12.7597,61.641261495
0.805,0.045,0.885,87.881,61.641261495
0.805,0.055,0.815,9.3823,61.641261495
0.805,0.065,0.775,1.95681,61.641261495
0.815,-0.075,0.765,7.78925,61.641261495
0.815,-0.065,0.775,63.2557,61.641261495
0.815,-0.045,0.855,92.8966,61.641261495
0.815,-0.045,0.865,41.668,61.641261495
0.815,-0.045,0.875,3.21285,61.641261495
0.815,-0.035,0.905,155.043,61.641261495
0.815,-0.035,0.915,103.774,61.641261495
0.815,-0.035,0.925,15.3348,61.641261495
0.815,0.005,1.065,170.624,61.641261495
0.815,0.025,0.995,5.33376,61.641261495
0.815,0.025,1.005,5.41355,61.641261495
0.815,0.025,1.015,33.6429,61.641261495
0.815,0.025,1.025,62.0399,61.641261495
0.815,0.025,1.035,119.312,61.641261495
0.815,0.035,0.915,8.48796,61.641261495
0.815,0.035,0.925,14.2114,61.641261495
0.815,0.035,0.935,29.8836,61.641261495
0.815,0.035,0.945,113.639,61.641261495
0.815,0.035,0.955,148.692,61.641261495
0.815,0.035,0.965,222.303,61.641261495
0.815,0.045,0.865,7.08776,61.641261495
0.815,0.045,0.875,15.7538,61.641261495
0.815,0.045,0.885,24.2751,61.641261495
0.815,0.045,0.895,56.6207,61.641261495
0.815,0.045,0.905,154.939,61.641261495
0.815,0.055,0.835,7.91454,61.641261495
0.815,0.055,0.845,88.122,61.641261495
0.815,0.055,0.855,388.681,61.641261495
0.815,0.065,0.785,14.77,61.641261495
0.815,0.065,0.795,177.167,61.641261495
0.815,0.065,0.805,431.496,61.641261495
0.825,-0.065,0.775,73.3708,61.641261495
0.825,0.005,1.065,89.5294,61.641261495
0.825,0.015,1.065,516.53,61.641261495
0.825,0.025,0.965,13.1023,61.641261495
0.825,0.025,0.995,22.0489,61.641261495
0.825,0.025,1.005,16.0603,61.641261495
0.825,0.025,1.015,41.4206,61.641261495
0.825,0.025,1.025,141.05,61.641261495
0.825,0.025,1.035,202.983,61.641261495
0.825,0.025,1.045,579.312,61.641261495
0.825,0.025,1.055,867.748,61.641261495
0.825,0.035,0.915,11.412,61.641261495
0.825,0.035,0.925,14.1354,61.641261495
0.825,0.035,0.935,53.8335,61.641261495
0.825,0.035,0.945,124.12,61.641261495
0.825,0.035,0.955,158.782,61.641261495
0.825,0.035,0.965,406.996,61.641261495
0.825,0.035,0.975,723.595,61.641261495
0.825,0.035,0.985,1218.01,61.641261495
0.825,0.035,0.995,1725.87,61.641261495
0.825,0.035,1.005,1647.14,61.641261495
0.825,0.045,0.865,7.05932,61.641261495
0.825,0.045,0.875,15.6874,61.641261495
0.825,0.045,0.885,34.5326,61.641261495
0.825,0.045,0.895,49.5782,61.641261495
0.825,0.045,0.905,201.095,61.641261495
0.825,0.045,0.915,685.189,61.641261495
0.825,0.045,0.925,1637.09,61.641261495
0.825,0.045,0.935,2442.37,61.641261495
0.825,0.045,0.945,2699.25,61.641261495
0.825,0.045,0.955,2559.75,61.641261495
