X_pos,Y_pos,Z_pos,UV_dose,Execution_time,Num_cells_in_region
0.765,0.015,0.775,270.313,43.584093223,1096
0.765,0.025,0.775,281.785,43.584093223,1096
0.765,0.035,0.775,262.908,43.584093223,1096
0.765,0.045,0.775,242.853,43.584093223,1096
0.765,0.055,0.775,204.723,43.584093223,1096
0.775,-0.005,0.775,543.109,43.584093223,1096
0.775,0.005,0.775,406.196,43.584093223,1096
0.775,0.015,0.775,105.735,43.584093223,1096
0.775,0.015,0.785,400.728,43.584093223,1096
0.775,0.015,0.795,489.999,43.584093223,1096
0.775,0.015,0.805,550.785,43.584093223,1096
0.775,0.015,0.815,582.961,43.584093223,1096
0.775,0.025,0.775,16.1786,43.584093223,1096
0.775,0.025,0.785,205.96,43.584093223,1096
0.775,0.025,0.795,413.022,43.584093223,1096
0.775,0.025,0.805,473.086,43.584093223,1096
0.775,0.025,0.815,518.377,43.584093223,1096
0.775,0.025,0.825,612.267,43.584093223,1096
0.775,0.035,0.785,89.4869,43.584093223,1096
0.775,0.035,0.795,277.778,43.584093223,1096
0.775,0.035,0.805,394.336,43.584093223,1096
0.775,0.035,0.815,498.455,43.584093223,1096
0.775,0.035,0.825,520.257,43.584093223,1096
0.775,0.045,0.785,131.856,43.584093223,1096
0.775,0.045,0.795,254.27,43.584093223,1096
0.775,0.045,0.805,448.479,43.584093223,1096
0.775,0.045,0.815,546.071,43.584093223,1096
0.775,0.045,0.825,631.638,43.584093223,1096
0.775,0.045,0.835,714.416,43.584093223,1096
0.775,0.055,0.775,6.61804,43.584093223,1096
0.775,0.055,0.785,173.038,43.584093223,1096
0.775,0.055,0.795,307.626,43.584093223,1096
0.775,0.055,0.805,456.201,43.584093223,1096
0.775,0.055,0.815,519.746,43.584093223,1096
0.775,0.055,0.825,620.681,43.584093223,1096
0.775,0.055,0.835,628.602,43.584093223,1096
0.775,0.065,0.775,63.964,43.584093223,1096
0.775,0.065,0.785,265.313,43.584093223,1096
0.775,0.065,0.795,319.314,43.584093223,1096
0.775,0.065,0.805,388.581,43.584093223,1096
0.775,0.065,0.815,391.44,43.584093223,1096
0.775,0.065,0.825,188.561,43.584093223,1096
0.775,0.075,0.775,153.011,43.584093223,1096
0.775,0.075,0.785,197.873,43.584093223,1096
0.775,0.075,0.795,116.727,43.584093223,1096
0.775,0.085,0.775,160.786,43.584093223,1096
0.785,-0.015,0.775,521.547,43.584093223,1096
0.785,-0.005,0.775,244.075,43.584093223,1096
0.785,-0.005,0.785,618.511,43.584093223,1096
0.785,0.005,0.775,54.8762,43.584093223,1096
0.785,0.005,0.785,124.923,43.584093223,1096
0.785,0.005,0.795,281.902,43.584093223,1096
0.785,0.005,0.805,352.792,43.584093223,1096
0.785,0.005,0.815,440.696,43.584093223,1096
0.785,0.005,0.825,626.368,43.584093223,1096
0.785,0.015,0.795,7.26524,43.584093223,1096
0.785,0.015,0.805,67.2336,43.584093223,1096
0.785,0.015,0.815,172.695,43.584093223,1096
0.785,0.015,0.825,289.431,43.584093223,1096
0.785,0.015,0.835,416.969,43.584093223,1096
