X_pos,Y_pos,Z_pos,UV_dose,Execution_time,Num_cells_in_region
0.795,0.015,0.775,366.992,27.823094786,0
0.795,0.015,0.785,383.553,27.823094786,0
0.795,0.015,0.795,492.624,27.823094786,0
0.795,0.015,0.805,931.055,27.823094786,0
0.795,0.015,0.815,1077.14,27.823094786,0
0.795,0.015,0.825,1086.55,27.823094786,0
0.795,0.015,0.835,1030.24,27.823094786,0
0.795,0.015,0.845,867.493,27.823094786,0
0.795,0.015,0.855,790.772,27.823094786,0
0.795,0.025,0.775,409.437,27.823094786,0
0.795,0.025,0.785,429.132,27.823094786,0
0.795,0.025,0.795,659.601,27.823094786,0
0.795,0.025,0.805,943.007,27.823094786,0
0.795,0.025,0.815,1228.07,27.823094786,0
0.795,0.025,0.825,1318.65,27.823094786,0
0.795,0.025,0.835,1372.4,27.823094786,0
0.795,0.025,0.845,1312.42,27.823094786,0
0.795,0.025,0.855,1288.94,27.823094786,0
0.795,0.035,0.775,385.6,27.823094786,0
0.795,0.035,0.785,449.91,27.823094786,0
0.795,0.035,0.795,666.307,27.823094786,0
0.795,0.035,0.805,820.024,27.823094786,0
0.795,0.035,0.815,902.748,27.823094786,0
0.795,0.035,0.825,1039.87,27.823094786,0
0.795,0.035,0.835,1302.17,27.823094786,0
0.795,0.035,0.845,1386.87,27.823094786,0
0.795,0.035,0.855,1339.81,27.823094786,0
0.805,-0.005,0.785,380.976,27.823094786,0
0.805,-0.005,0.805,703.091,27.823094786,0
0.805,-0.005,0.825,395.882,27.823094786,0
0.805,0.005,0.775,144.516,27.823094786,0
0.805,0.005,0.785,199.213,27.823094786,0
0.805,0.005,0.795,497.536,27.823094786,0
0.805,0.005,0.805,680.84,27.823094786,0
0.805,0.005,0.815,729.992,27.823094786,0
0.805,0.005,0.825,648.148,27.823094786,0
0.805,0.005,0.835,233.821,27.823094786,0
0.805,0.005,0.845,150.714,27.823094786,0
0.805,0.015,0.775,11.7794,27.823094786,0
0.805,0.015,0.785,74.7774,27.823094786,0
0.805,0.015,0.795,284.16,27.823094786,0
0.805,0.015,0.805,409.975,27.823094786,0
0.805,0.015,0.815,478.809,27.823094786,0
0.805,0.015,0.825,535.113,27.823094786,0
0.805,0.015,0.835,423.167,27.823094786,0
0.805,0.015,0.845,106.227,27.823094786,0
0.805,0.015,0.855,382.084,27.823094786,0
0.805,0.025,0.775,101.094,27.823094786,0
0.805,0.025,0.785,115.439,27.823094786,0
0.805,0.025,0.795,124.217,27.823094786,0
0.805,0.025,0.805,328.364,27.823094786,0
0.805,0.025,0.815,403.042,27.823094786,0
0.805,0.025,0.825,394.413,27.823094786,0
0.805,0.025,0.835,385.248,27.823094786,0
0.805,0.025,0.845,268.939,27.823094786,0
0.805,0.025,0.855,456.633,27.823094786,0
0.805,0.035,0.775,449.895,27.823094786,0
0.805,0.035,0.785,560.905,27.823094786,0
0.805,0.035,0.795,675.756,27.823094786,0
0.805,0.035,0.805,859.849,27.823094786,0
0.805,0.035,0.815,1010.9,27.823094786,0
0.805,0.035,0.825,1025.79,27.823094786,0
0.805,0.035,0.835,1046.55,27.823094786,0
0.805,0.035,0.855,1129.18,27.823094786,0
0.805,0.045,0.775,813.998,27.823094786,0
0.805,0.045,0.785,906.118,27.823094786,0
0.805,0.045,0.795,973.347,27.823094786,0
0.805,0.045,0.805,1078.99,27.823094786,0
0.805,0.045,0.815,1140.22,27.823094786,0
0.805,0.045,0.825,1211.83,27.823094786,0
0.805,0.045,0.835,1387.42,27.823094786,0
0.805,0.045,0.845,1420.98,27.823094786,0
0.805,0.045,0.855,1368.5,27.823094786,0
0.805,0.055,0.775,285.355,27.823094786,0
0.805,0.055,0.785,335.024,27.823094786,0
