X_pos,Y_pos,Z_pos,UV_dose,Execution_time,Num_cells_in_region
0.755,-0.195,0.755,10.6972,68.021429939,8334
0.755,-0.195,0.765,155.734,68.021429939,8334
0.755,-0.185,0.755,10.869,68.021429939,8334
0.755,-0.185,0.765,210.996,68.021429939,8334
0.755,-0.175,0.755,11.055,68.021429939,8334
0.755,-0.175,0.765,250.549,68.021429939,8334
0.755,-0.165,0.755,11.1959,68.021429939,8334
0.755,-0.165,0.765,284.925,68.021429939,8334
0.755,-0.155,0.755,11.3587,68.021429939,8334
0.755,-0.155,0.765,226.416,68.021429939,8334
0.755,-0.145,0.755,11.4938,68.021429939,8334
0.755,-0.145,0.765,203.247,68.021429939,8334
0.755,-0.135,0.755,25.5752,68.021429939,8334
0.755,-0.135,0.765,209.23,68.021429939,8334
0.755,-0.125,0.755,25.9545,68.021429939,8334
0.755,-0.125,0.765,192.518,68.021429939,8334
0.755,-0.115,0.755,26.2264,68.021429939,8334
0.755,-0.115,0.765,194.505,68.021429939,8334
0.755,-0.105,0.755,14.7829,68.021429939,8334
0.755,-0.105,0.765,184.337,68.021429939,8334
0.755,-0.095,0.755,15.0013,68.021429939,8334
0.755,-0.095,0.765,141.232,68.021429939,8334
0.755,-0.085,0.755,15.2488,68.021429939,8334
0.755,-0.085,0.765,135.458,68.021429939,8334
0.755,-0.075,0.755,15.4464,68.021429939,8334
0.755,-0.075,0.765,115.796,68.021429939,8334
0.755,-0.065,0.755,15.6325,68.021429939,8334
0.755,-0.065,0.765,137.079,68.021429939,8334
0.755,-0.055,0.755,15.7767,68.021429939,8334
0.755,-0.055,0.765,204.996,68.021429939,8334
0.755,-0.045,0.755,15.9017,68.021429939,8334
0.755,-0.045,0.765,201.003,68.021429939,8334
0.755,-0.035,0.755,15.9737,68.021429939,8334
0.755,-0.035,0.765,233.218,68.021429939,8334
0.755,-0.025,0.765,249.371,68.021429939,8334
0.755,-0.015,0.765,265.958,68.021429939,8334
0.755,-0.005,0.765,240.221,68.021429939,8334
0.755,0.005,0.765,222.484,68.021429939,8334
0.755,0.015,0.765,235.036,68.021429939,8334
0.755,0.025,0.765,200.506,68.021429939,8334
0.755,0.035,0.765,184.645,68.021429939,8334
0.755,0.045,0.765,151.88,68.021429939,8334
0.755,0.055,0.765,181.522,68.021429939,8334
0.755,0.065,0.765,166.26,68.021429939,8334
0.755,0.075,0.755,4.72154,68.021429939,8334
0.755,0.075,0.765,190.125,68.021429939,8334
0.755,0.085,0.755,10.556,68.021429939,8334
0.755,0.085,0.765,173.261,68.021429939,8334
0.755,0.095,0.755,9.92425,68.021429939,8334
0.755,0.095,0.765,144.249,68.021429939,8334
0.755,0.105,0.755,31.4798,68.021429939,8334
0.755,0.105,0.765,173.677,68.021429939,8334
0.755,0.115,0.755,59.01,68.021429939,8334
0.755,0.115,0.765,183.83,68.021429939,8334
0.755,0.125,0.755,59.5443,68.021429939,8334
0.755,0.125,0.765,315.18,68.021429939,8334
0.755,0.135,0.755,59.9438,68.021429939,8334
0.755,0.135,0.765,340.923,68.021429939,8334
0.755,0.145,0.755,60.3695,68.021429939,8334
0.755,0.145,0.765,351.53,68.021429939,8334
0.755,0.155,0.755,55.683,68.021429939,8334
0.755,0.155,0.765,327.707,68.021429939,8334
0.755,0.165,0.755,55.888,68.021429939,8334
0.755,0.165,0.765,330.018,68.021429939,8334
0.755,0.175,0.755,56.0388,68.021429939,8334
0.755,0.175,0.765,316.796,68.021429939,8334
0.755,0.185,0.755,56.3965,68.021429939,8334
0.755,0.185,0.765,289.909,68.021429939,8334
0.755,0.195,0.755,61.7615,68.021429939,8334
0.755,0.195,0.765,259.92,68.021429939,8334
0.765,-0.195,0.755,10.6296,68.021429939,8334
0.765,-0.195,0.765,180.468,68.021429939,8334
0.765,-0.185,0.755,10.8157,68.021429939,8334
0.765,-0.185,0.765,217.32,68.021429939,8334
0.765,-0.175,0.755,11.001,68.021429939,8334
0.765,-0.175,0.765,272.79,68.021429939,8334
0.765,-0.165,0.755,11.1532,68.021429939,8334
0.765,-0.165,0.765,289.703,68.021429939,8334
0.765,-0.155,0.755,11.3026,68.021429939,8334
0.765,-0.155,0.765,279.53,68.021429939,8334
0.765,-0.145,0.755,11.4333,68.021429939,8334
0.765,-0.145,0.765,220.221,68.021429939,8334
0.765,-0.135,0.755,25.4664,68.021429939,8334
0.765,-0.135,0.765,256.71,68.021429939,8334
0.765,-0.125,0.755,25.8534,68.021429939,8334
0.765,-0.125,0.765,212.285,68.021429939,8334
0.765,-0.115,0.755,26.1629,68.021429939,8334
0.765,-0.115,0.765,183.761,68.021429939,8334
0.765,-0.105,0.755,14.7467,68.021429939,8334
0.765,-0.105,0.765,180.213,68.021429939,8334
0.765,-0.095,0.755,14.9902,68.021429939,8334
0.765,-0.095,0.765,150.092,68.021429939,8334
0.765,-0.085,0.755,15.1965,68.021429939,8334
0.765,-0.085,0.765,145.136,68.021429939,8334
0.765,-0.075,0.755,15.4011,68.021429939,8334
0.765,-0.075,0.765,176.012,68.021429939,8334
0.765,-0.065,0.755,15.5817,68.021429939,8334
0.765,-0.065,0.765,210.917,68.021429939,8334
0.765,-0.055,0.755,15.7378,68.021429939,8334
0.765,-0.055,0.765,204.771,68.021429939,8334
0.765,-0.045,0.755,15.8602,68.021429939,8334
0.765,-0.045,0.765,248.877,68.021429939,8334
0.765,-0.035,0.755,15.8999,68.021429939,8334
0.765,-0.035,0.765,231.546,68.021429939,8334
