X_pos,Y_pos,Z_pos,UV_dose,Execution_time,Num_cells_in_region
0.755,0.025,0.775,139.264,25.627457004,1115
0.755,0.035,0.775,99.6591,25.627457004,1115
0.765,0.005,0.775,136.696,25.627457004,1115
0.765,0.015,0.775,204.594,25.627457004,1115
0.765,0.015,0.785,227.693,25.627457004,1115
0.765,0.025,0.775,224.302,25.627457004,1115
0.765,0.025,0.785,240.178,25.627457004,1115
0.765,0.035,0.775,259.627,25.627457004,1115
0.765,0.035,0.785,245.633,25.627457004,1115
0.765,0.035,0.795,119.454,25.627457004,1115
0.765,0.045,0.775,299.518,25.627457004,1115
0.775,0.005,0.775,20.3569,25.627457004,1115
0.775,0.005,0.785,131.404,25.627457004,1115
0.775,0.005,0.795,141.339,25.627457004,1115
0.775,0.005,0.805,152.331,25.627457004,1115
0.775,0.005,0.815,164.354,25.627457004,1115
0.775,0.005,0.825,180.745,25.627457004,1115
0.775,0.015,0.775,54.5805,25.627457004,1115
0.775,0.015,0.785,202.364,25.627457004,1115
0.775,0.015,0.795,209.032,25.627457004,1115
0.775,0.015,0.805,214.004,25.627457004,1115
0.775,0.015,0.815,244.123,25.627457004,1115
0.775,0.015,0.825,246.859,25.627457004,1115
0.775,0.015,0.835,268.405,25.627457004,1115
0.775,0.015,0.845,129.646,25.627457004,1115
0.775,0.025,0.785,215.262,25.627457004,1115
0.775,0.025,0.795,267.372,25.627457004,1115
0.775,0.025,0.805,262.055,25.627457004,1115
0.775,0.025,0.815,269.4,25.627457004,1115
0.775,0.025,0.825,310.776,25.627457004,1115
0.775,0.025,0.835,307.296,25.627457004,1115
0.775,0.025,0.845,194.503,25.627457004,1115
0.775,0.025,0.855,76.2665,25.627457004,1115
0.775,0.035,0.775,117.651,25.627457004,1115
0.775,0.035,0.785,271.5,25.627457004,1115
0.775,0.035,0.795,301.69,25.627457004,1115
0.775,0.035,0.805,359.087,25.627457004,1115
0.775,0.035,0.815,376.571,25.627457004,1115
0.775,0.035,0.825,417.118,25.627457004,1115
0.775,0.035,0.835,317.788,25.627457004,1115
0.775,0.035,0.845,203.111,25.627457004,1115
0.775,0.045,0.775,180.924,25.627457004,1115
0.775,0.045,0.785,392.817,25.627457004,1115
0.775,0.045,0.795,514.742,25.627457004,1115
0.775,0.045,0.805,449.988,25.627457004,1115
0.775,0.045,0.815,470.436,25.627457004,1115
0.775,0.045,0.825,333.036,25.627457004,1115
0.775,0.045,0.835,328.772,25.627457004,1115
0.775,0.055,0.775,231.665,25.627457004,1115
0.775,0.055,0.785,532.169,25.627457004,1115
0.775,0.055,0.795,510.131,25.627457004,1115
0.775,0.055,0.805,471.884,25.627457004,1115
0.775,0.055,0.815,421.948,25.627457004,1115
0.775,0.055,0.835,347,25.627457004,1115
0.775,0.065,0.775,315.515,25.627457004,1115
0.775,0.065,0.785,425.943,25.627457004,1115
0.775,0.075,0.775,356.652,25.627457004,1115
0.775,0.075,0.785,364.22,25.627457004,1115
0.775,0.075,0.795,175.426,25.627457004,1115
0.775,0.085,0.775,327.531,25.627457004,1115
0.785,-0.005,0.785,36.9308,25.627457004,1115
0.785,-0.005,0.795,159.106,25.627457004,1115
0.785,0.015,0.825,98.7695,25.627457004,1115
0.785,0.015,0.835,269.01,25.627457004,1115
0.785,0.015,0.845,268.749,25.627457004,1115
0.785,0.015,0.855,262.317,25.627457004,1115
0.785,0.015,0.865,257.167,25.627457004,1115
0.785,0.015,0.875,244.989,25.627457004,1115
0.785,0.015,0.885,151.869,25.627457004,1115
0.785,0.015,0.895,146.949,25.627457004,1115
0.785,0.015,0.905,122.945,25.627457004,1115
