X_pos,Y_pos,Z_pos,UV_dose,Execution_time,Num_cells_in_region
0.795,0.035,0.775,198.082,20.714308483,665
0.795,0.035,0.795,349.235,20.714308483,665
0.795,0.035,0.815,326.098,20.714308483,665
0.795,0.035,0.825,343.542,20.714308483,665
0.795,0.035,0.835,311.325,20.714308483,665
0.795,0.045,0.775,69.5721,20.714308483,665
0.805,0.005,0.775,697.261,20.714308483,665
0.805,0.005,0.785,852.414,20.714308483,665
0.805,0.005,0.795,690.309,20.714308483,665
0.805,0.005,0.825,44.3589,20.714308483,665
0.805,0.015,0.775,891.054,20.714308483,665
0.805,0.015,0.785,1029.59,20.714308483,665
0.805,0.015,0.795,875.972,20.714308483,665
0.805,0.015,0.825,24.132,20.714308483,665
0.805,0.015,0.835,23.9451,20.714308483,665
0.805,0.015,0.845,26.3593,20.714308483,665
0.805,0.015,0.855,28.4787,20.714308483,665
0.805,0.025,0.825,135.414,20.714308483,665
0.805,0.025,0.835,87.5043,20.714308483,665
0.805,0.025,0.845,66.6717,20.714308483,665
0.805,0.035,0.795,919.618,20.714308483,665
0.805,0.035,0.815,667.206,20.714308483,665
0.805,0.035,0.825,559.875,20.714308483,665
0.805,0.035,0.835,458.644,20.714308483,665
0.805,0.035,0.845,329.471,20.714308483,665
0.805,0.045,0.775,800.983,20.714308483,665
0.805,0.045,0.785,893.28,20.714308483,665
0.805,0.045,0.795,1028.41,20.714308483,665
0.805,0.045,0.805,1141.72,20.714308483,665
0.805,0.045,0.815,1213.7,20.714308483,665
0.805,0.045,0.825,851.997,20.714308483,665
0.805,0.045,0.835,634.158,20.714308483,665
0.805,0.045,0.845,493.671,20.714308483,665
0.805,0.055,0.775,347.192,20.714308483,665
0.805,0.055,0.785,466.228,20.714308483,665
0.805,0.055,0.795,541.458,20.714308483,665
0.805,0.055,0.805,601.486,20.714308483,665
0.805,0.055,0.815,689.898,20.714308483,665
0.805,0.055,0.825,622.477,20.714308483,665
0.805,0.055,0.835,339.467,20.714308483,665
0.805,0.055,0.845,267.594,20.714308483,665
0.805,0.065,0.805,30.4771,20.714308483,665
0.815,-0.005,0.775,468.372,20.714308483,665
0.815,-0.005,0.785,547.065,20.714308483,665
0.815,-0.005,0.795,592.39,20.714308483,665
0.815,-0.005,0.805,470.26,20.714308483,665
0.815,-0.005,0.815,80.8848,20.714308483,665
0.815,0.005,0.775,580.911,20.714308483,665
0.815,0.005,0.785,771.508,20.714308483,665
0.815,0.005,0.795,697.263,20.714308483,665
0.815,0.005,0.805,485.795,20.714308483,665
0.815,0.005,0.815,123.608,20.714308483,665
0.815,0.005,0.825,64.1448,20.714308483,665
0.815,0.015,0.775,308.61,20.714308483,665
