X_pos,Y_pos,Z_pos,UV_dose,Execution_time,Num_cells_in_region
0.755,-0.195,0.755,70.3308,111.767186209,4585
0.755,-0.195,0.765,51.9769,111.767186209,4585
0.755,-0.185,0.755,70.1696,111.767186209,4585
0.755,-0.185,0.765,68.8204,111.767186209,4585
0.755,-0.175,0.765,70.6224,111.767186209,4585
0.755,-0.165,0.765,78.823,111.767186209,4585
0.755,-0.155,0.765,87.5397,111.767186209,4585
0.755,-0.145,0.765,102.697,111.767186209,4585
0.755,-0.135,0.765,115.484,111.767186209,4585
0.755,-0.125,0.765,91.8665,111.767186209,4585
0.755,-0.115,0.765,114.314,111.767186209,4585
0.755,-0.105,0.765,131.745,111.767186209,4585
0.755,-0.095,0.765,136.819,111.767186209,4585
0.755,-0.085,0.765,150.005,111.767186209,4585
0.755,-0.075,0.765,142.143,111.767186209,4585
0.755,-0.065,0.765,111.6,111.767186209,4585
0.755,-0.055,0.755,15.4125,111.767186209,4585
0.755,-0.055,0.765,93.639,111.767186209,4585
0.755,-0.045,0.755,30.5094,111.767186209,4585
0.755,-0.045,0.765,109.581,111.767186209,4585
0.755,-0.035,0.755,30.76,111.767186209,4585
0.755,-0.035,0.765,99.1455,111.767186209,4585
0.755,-0.025,0.755,30.9346,111.767186209,4585
0.755,-0.025,0.765,72.8539,111.767186209,4585
0.755,-0.015,0.755,29.1935,111.767186209,4585
0.755,-0.015,0.765,50.5486,111.767186209,4585
0.755,-0.005,0.765,38.5089,111.767186209,4585
0.755,0.005,0.765,13.4211,111.767186209,4585
0.755,0.035,0.765,42.7964,111.767186209,4585
0.755,0.045,0.765,57.0731,111.767186209,4585
0.755,0.055,0.755,6.30815,111.767186209,4585
0.755,0.055,0.765,91.1216,111.767186209,4585
0.755,0.065,0.755,19.2958,111.767186209,4585
0.755,0.065,0.765,141.183,111.767186209,4585
0.755,0.075,0.755,19.6223,111.767186209,4585
0.755,0.075,0.765,195.739,111.767186209,4585
0.755,0.085,0.755,13.3329,111.767186209,4585
0.755,0.085,0.765,232.039,111.767186209,4585
0.755,0.095,0.755,13.5063,111.767186209,4585
0.755,0.095,0.765,252.602,111.767186209,4585
0.755,0.105,0.755,20.9654,111.767186209,4585
0.755,0.105,0.765,252.615,111.767186209,4585
0.755,0.115,0.755,21.2647,111.767186209,4585
