X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.765,0.025,0.775,954.389,80.301283953
0.765,0.035,0.775,880.242,80.301283953
0.765,0.045,0.775,826.128,80.301283953
0.775,-0.005,0.775,1642.53,80.301283953
0.775,0.005,0.775,1287.34,80.301283953
0.775,0.005,0.785,979.549,80.301283953
0.775,0.005,0.795,521.489,80.301283953
0.775,0.015,0.775,585.573,80.301283953
0.775,0.015,0.785,947.431,80.301283953
0.775,0.015,0.795,708.815,80.301283953
0.775,0.015,0.805,33.8451,80.301283953
0.775,0.015,0.815,25.4402,80.301283953
0.775,0.025,0.775,39.5765,80.301283953
0.775,0.025,0.785,943.346,80.301283953
0.775,0.025,0.795,831.993,80.301283953
0.775,0.025,0.805,58.483,80.301283953
0.775,0.025,0.815,25.9025,80.301283953
0.775,0.035,0.785,904.095,80.301283953
0.775,0.035,0.795,829.651,80.301283953
0.775,0.035,0.805,111.632,80.301283953
0.775,0.035,0.815,22.0041,80.301283953
0.775,0.045,0.785,825.09,80.301283953
0.775,0.045,0.795,783.012,80.301283953
0.775,0.045,0.805,35.0872,80.301283953
0.775,0.055,0.775,354.07,80.301283953
0.775,0.055,0.785,766.391,80.301283953
0.775,0.055,0.795,697.976,80.301283953
0.775,0.065,0.775,652.027,80.301283953
0.785,-0.025,0.775,1591.72,80.301283953
0.785,-0.015,0.775,1848.59,80.301283953
0.785,-0.015,0.785,871.016,80.301283953
0.785,-0.005,0.775,1117.18,80.301283953
0.785,-0.005,0.785,1655.04,80.301283953
0.785,-0.005,0.795,1276.96,80.301283953
0.785,-0.005,0.805,644.137,80.301283953
0.785,-0.005,0.815,441.709,80.301283953
0.785,-0.005,0.825,84.1651,80.301283953
0.785,0.005,0.775,699.952,80.301283953
0.785,0.005,0.785,1278.98,80.301283953
0.785,0.005,0.795,1330.51,80.301283953
0.785,0.005,0.805,930.413,80.301283953
0.785,0.005,0.815,826.465,80.301283953
0.785,0.005,0.825,646.442,80.301283953
0.785,0.005,0.835,877.27,80.301283953
0.785,0.005,0.845,1366.22,80.301283953
0.785,0.005,0.855,1724.5,80.301283953
0.785,0.005,0.865,1902.17,80.301283953
0.785,0.015,0.775,370.789,80.301283953
0.785,0.015,0.785,559.409,80.301283953
0.785,0.015,0.795,814.982,80.301283953
0.785,0.015,0.805,757.609,80.301283953
0.785,0.015,0.815,916.212,80.301283953
0.785,0.015,0.825,879.62,80.301283953
0.785,0.015,0.835,1611.62,80.301283953
0.785,0.015,0.845,1824.64,80.301283953
0.785,0.015,0.855,2148.57,80.301283953
0.785,0.015,0.865,2770.89,80.301283953
0.785,0.015,0.875,2908.7,80.301283953
0.785,0.025,0.795,784.828,80.301283953
0.785,0.025,0.805,713.888,80.301283953
0.785,0.025,0.815,836.803,80.301283953
0.785,0.025,0.825,1182.2,80.301283953
0.785,0.025,0.835,1757.28,80.301283953
0.785,0.025,0.845,1880.9,80.301283953
0.785,0.025,0.855,2770.53,80.301283953
0.785,0.025,0.865,3017.62,80.301283953
0.785,0.025,0.875,3157.6,80.301283953
0.785,0.025,0.885,3287.16,80.301283953
