X_pos,Y_pos,Z_pos,UV_dose,Execution_time,Num_cells_in_region
0.755,-0.065,0.765,12.4352,17.816029661,4876
0.755,-0.055,0.765,24.0485,17.816029661,4876
0.755,-0.045,0.765,24.224,17.816029661,4876
0.755,-0.035,0.765,12.6721,17.816029661,4876
0.755,-0.025,0.765,11.9722,17.816029661,4876
0.755,-0.015,0.765,25.3035,17.816029661,4876
0.755,-0.005,0.765,13.3123,17.816029661,4876
0.755,0.025,0.765,11.9457,17.816029661,4876
0.755,0.095,0.765,13.7962,17.816029661,4876
0.755,0.125,0.765,73.4174,17.816029661,4876
0.755,0.135,0.765,96.9005,17.816029661,4876
0.755,0.145,0.765,66.6472,17.816029661,4876
0.755,0.155,0.765,84.3446,17.816029661,4876
0.755,0.165,0.765,98.439,17.816029661,4876
0.755,0.175,0.765,112.251,17.816029661,4876
0.755,0.185,0.765,112.633,17.816029661,4876
0.755,0.195,0.765,112.676,17.816029661,4876
0.765,-0.135,0.765,26.4535,17.816029661,4876
0.765,-0.125,0.765,26.7096,17.816029661,4876
0.765,-0.115,0.765,37.9884,17.816029661,4876
0.765,-0.105,0.765,49.5089,17.816029661,4876
0.765,-0.095,0.765,35.9973,17.816029661,4876
0.765,-0.085,0.765,35.3846,17.816029661,4876
0.765,-0.075,0.765,35.7608,17.816029661,4876
0.765,-0.065,0.765,48.6036,17.816029661,4876
0.765,-0.055,0.765,37.1607,17.816029661,4876
0.765,-0.045,0.765,49.2392,17.816029661,4876
0.765,-0.035,0.765,62.5462,17.816029661,4876
0.765,-0.025,0.765,62.1045,17.816029661,4876
0.765,-0.015,0.765,50.4569,17.816029661,4876
0.765,-0.005,0.765,49.6894,17.816029661,4876
0.765,0.005,0.765,50.1441,17.816029661,4876
0.765,0.015,0.765,36.7904,17.816029661,4876
0.765,0.025,0.765,49.7733,17.816029661,4876
0.765,0.035,0.765,37.9349,17.816029661,4876
0.765,0.045,0.765,38.4645,17.816029661,4876
0.765,0.055,0.765,63.4651,17.816029661,4876
0.765,0.065,0.765,39.0243,17.816029661,4876
0.765,0.075,0.765,52.936,17.816029661,4876
0.765,0.085,0.765,66.6137,17.816029661,4876
0.765,0.095,0.765,66.1118,17.816029661,4876
0.765,0.105,0.765,541.597,17.816029661,4876
0.765,0.115,0.765,543.949,17.816029661,4876
0.765,0.125,0.765,530.385,17.816029661,4876
0.765,0.135,0.765,534.967,17.816029661,4876
0.765,0.145,0.765,583.168,17.816029661,4876
0.765,0.155,0.765,164.103,17.816029661,4876
0.765,0.165,0.765,113.687,17.816029661,4876
0.765,0.175,0.765,126.839,17.816029661,4876
0.765,0.185,0.765,126.982,17.816029661,4876
0.765,0.195,0.765,114.394,17.816029661,4876
0.775,-0.165,0.765,11.089,17.816029661,4876
0.775,-0.155,0.765,38.7453,17.816029661,4876
0.775,-0.145,0.765,52.5308,17.816029661,4876
0.775,-0.135,0.765,65.7398,17.816029661,4876
0.775,-0.125,0.765,51.3902,17.816029661,4876
0.775,-0.115,0.765,63.0413,17.816029661,4876
0.775,-0.105,0.765,50.07,17.816029661,4876
0.775,-0.095,0.765,48.919,17.816029661,4876
0.775,-0.085,0.765,60.7039,17.816029661,4876
0.775,-0.075,0.765,73.502,17.816029661,4876
0.775,-0.065,0.765,60.3971,17.816029661,4876
0.775,-0.055,0.765,61.1943,17.816029661,4876
0.775,-0.045,0.765,63.0247,17.816029661,4876
0.775,-0.035,0.765,75.1947,17.816029661,4876
0.775,-0.025,0.765,75.1673,17.816029661,4876
0.775,-0.015,0.765,74.8749,17.816029661,4876
0.775,-0.005,0.765,75.8651,17.816029661,4876
0.775,0.005,0.765,63.0037,17.816029661,4876
0.775,0.015,0.765,63.8569,17.816029661,4876
0.775,0.025,0.765,63.8316,17.816029661,4876
0.775,0.035,0.765,62.9498,17.816029661,4876
0.775,0.045,0.765,64.0257,17.816029661,4876
0.775,0.055,0.765,64.1382,17.816029661,4876
0.775,0.065,0.765,66.0459,17.816029661,4876
0.775,0.075,0.765,66.981,17.816029661,4876
0.775,0.085,0.765,92.3183,17.816029661,4876
0.775,0.095,0.765,568.741,17.816029661,4876
0.775,0.105,0.765,558.993,17.816029661,4876
0.775,0.115,0.765,547.429,17.816029661,4876
0.775,0.125,0.765,548.674,17.816029661,4876
0.775,0.135,0.765,586.033,17.816029661,4876
0.775,0.145,0.765,614.781,17.816029661,4876
0.775,0.155,0.765,617.434,17.816029661,4876
0.775,0.165,0.765,568.173,17.816029661,4876
0.775,0.175,0.765,113.535,17.816029661,4876
0.775,0.185,0.765,113.641,17.816029661,4876
0.775,0.195,0.765,127.321,17.816029661,4876
0.785,-0.175,0.765,25.843,17.816029661,4876
0.785,-0.165,0.765,54.6646,17.816029661,4876
0.785,-0.155,0.765,68.5966,17.816029661,4876
0.785,-0.145,0.765,81.8984,17.816029661,4876
0.785,-0.135,0.765,77.6276,17.816029661,4876
0.785,-0.125,0.765,89.229,17.816029661,4876
0.785,-0.115,0.765,74.4965,17.816029661,4876
0.785,-0.105,0.765,76.035,17.816029661,4876
0.785,-0.095,0.765,87.8368,17.816029661,4876
0.785,-0.085,0.765,87.5633,17.816029661,4876
0.785,-0.075,0.765,73.9394,17.816029661,4876
0.785,-0.065,0.765,60.7037,17.816029661,4876
0.785,-0.055,0.765,74.8832,17.816029661,4876
0.785,-0.045,0.765,75.0311,17.816029661,4876
0.785,-0.035,0.765,75.6512,17.816029661,4876
0.785,-0.025,0.765,87.7035,17.816029661,4876
0.785,-0.015,0.765,87.9527,17.816029661,4876
0.785,-0.005,0.765,88.2524,17.816029661,4876
0.785,0.005,0.765,76.2541,17.816029661,4876
0.785,0.015,0.765,76.4888,17.816029661,4876
0.785,0.025,0.765,88.9987,17.816029661,4876
0.785,0.035,0.765,90.0503,17.816029661,4876
0.785,0.045,0.765,76.6612,17.816029661,4876
0.785,0.055,0.765,78.5932,17.816029661,4876
0.785,0.065,0.765,79.9962,17.816029661,4876
0.785,0.075,0.765,80.884,17.816029661,4876
0.785,0.085,0.765,581.519,17.816029661,4876
0.785,0.095,0.765,585.649,17.816029661,4876
0.785,0.105,0.765,575.423,17.816029661,4876
0.785,0.115,0.765,564.434,17.816029661,4876
0.785,0.125,0.765,552.084,17.816029661,4876
0.785,0.135,0.765,615.68,17.816029661,4876
0.785,0.145,0.765,647.35,17.816029661,4876
0.785,0.155,0.765,619.055,17.816029661,4876
0.785,0.165,0.765,634.065,17.816029661,4876
0.785,0.175,0.765,128.689,17.816029661,4876
0.785,0.185,0.765,128.677,17.816029661,4876
0.785,0.195,0.765,128.629,17.816029661,4876
0.795,-0.185,0.765,25.8339,17.816029661,4876
0.795,-0.175,0.765,54.8603,17.816029661,4876
0.795,-0.165,0.765,68.8237,17.816029661,4876
0.795,-0.155,0.765,86.2102,17.816029661,4876
0.795,-0.145,0.765,99.5865,17.816029661,4876
0.795,-0.135,0.765,111.063,17.816029661,4876
0.795,-0.125,0.765,105.491,17.816029661,4876
0.795,-0.115,0.765,89.5915,17.816029661,4876
0.795,-0.105,0.765,76.2926,17.816029661,4876
0.795,-0.095,0.765,88.0488,17.816029661,4876
0.795,-0.085,0.765,100.968,17.816029661,4876
0.795,-0.075,0.765,74.3234,17.816029661,4876
0.795,-0.065,0.765,86.4585,17.816029661,4876
0.795,-0.055,0.765,86.5185,17.816029661,4876
0.795,-0.045,0.765,87.3214,17.816029661,4876
0.795,-0.035,0.765,75.9553,17.816029661,4876
0.795,-0.025,0.765,88.0611,17.816029661,4876
0.795,-0.015,0.765,114.2,17.816029661,4876
0.795,-0.005,0.765,101.632,17.816029661,4876
0.795,0.005,0.765,76.4805,17.816029661,4876
0.795,0.015,0.765,76.7745,17.816029661,4876
0.795,0.025,0.765,89.4179,17.816029661,4876
0.795,0.035,0.765,90.4361,17.816029661,4876
0.795,0.045,0.765,76.9924,17.816029661,4876
0.795,0.055,0.765,78.9631,17.816029661,4876
0.795,0.065,0.765,92.584,17.816029661,4876
0.795,0.075,0.765,94.1439,17.816029661,4876
0.795,0.085,0.765,584.889,17.816029661,4876
0.795,0.095,0.765,588.572,17.816029661,4876
0.795,0.105,0.765,578.417,17.816029661,4876
0.795,0.115,0.765,568.05,17.816029661,4876
0.795,0.125,0.765,555.25,17.816029661,4876
0.795,0.135,0.765,633.53,17.816029661,4876
