X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.805,-0.015,0.775,508.044,45.051486364
0.805,-0.015,0.785,523.585,45.051486364
0.805,-0.015,0.795,598.964,45.051486364
0.805,-0.015,0.805,682.044,45.051486364
0.805,-0.015,0.815,781.03,45.051486364
0.805,-0.015,0.825,981.872,45.051486364
0.805,-0.015,0.835,1032.61,45.051486364
0.805,-0.015,0.845,1145.95,45.051486364
0.805,-0.005,0.775,743.14,45.051486364
0.805,-0.005,0.785,1104.55,45.051486364
0.805,-0.005,0.795,1262.64,45.051486364
0.805,-0.005,0.805,1510.93,45.051486364
0.805,-0.005,0.815,1824.41,45.051486364
0.805,-0.005,0.845,2223.7,45.051486364
0.805,-0.005,0.855,2449.72,45.051486364
0.805,0.005,0.775,918.01,45.051486364
0.805,0.005,0.785,1028.03,45.051486364
0.805,0.005,0.795,1303.44,45.051486364
0.805,0.005,0.805,1578.02,45.051486364
0.805,0.005,0.815,2061.85,45.051486364
0.805,0.005,0.825,2257.62,45.051486364
0.805,0.005,0.835,2490.95,45.051486364
0.805,0.005,0.845,2738.42,45.051486364
0.805,0.005,0.855,2722.39,45.051486364
0.805,0.015,0.775,1152.24,45.051486364
0.805,0.015,0.805,1670.42,45.051486364
0.805,0.015,0.815,1833.83,45.051486364
0.805,0.015,0.825,2246.47,45.051486364
0.805,0.015,0.835,2514.78,45.051486364
0.805,0.015,0.845,2527.17,45.051486364
0.805,0.015,0.855,2553.58,45.051486364
0.805,0.025,0.775,1373.94,45.051486364
0.805,0.025,0.785,1519.13,45.051486364
0.805,0.025,0.795,2151.42,45.051486364
0.805,0.025,0.805,2890.06,45.051486364
0.805,0.025,0.815,3062.01,45.051486364
0.805,0.025,0.825,3196.29,45.051486364
0.805,0.025,0.835,3280.09,45.051486364
0.805,0.025,0.845,3069.17,45.051486364
0.805,0.025,0.855,2626.45,45.051486364
0.805,0.035,0.775,810.178,45.051486364
0.805,0.035,0.785,940.878,45.051486364
0.805,0.035,0.795,1555.65,45.051486364
0.805,0.035,0.805,2344.01,45.051486364
0.805,0.035,0.815,2679.11,45.051486364
0.805,0.035,0.825,2815.28,45.051486364
0.805,0.035,0.835,2674.91,45.051486364
0.805,0.035,0.845,2306.07,45.051486364
0.805,0.045,0.775,114.074,45.051486364
0.815,-0.025,0.775,396.803,45.051486364
0.815,-0.025,0.785,458.37,45.051486364
0.815,-0.025,0.795,456.896,45.051486364
0.815,-0.025,0.805,503.457,45.051486364
0.815,-0.025,0.815,595.93,45.051486364
0.815,-0.025,0.825,749.611,45.051486364
0.815,-0.025,0.835,858.387,45.051486364
0.815,-0.025,0.845,1078.32,45.051486364
0.815,-0.015,0.775,839.801,45.051486364
0.815,-0.015,0.785,891.972,45.051486364
0.815,-0.015,0.795,990.594,45.051486364
0.815,-0.015,0.805,1073.52,45.051486364
0.815,-0.015,0.815,1152.6,45.051486364
0.815,-0.015,0.825,1347.59,45.051486364
0.815,-0.015,0.835,1730.65,45.051486364
0.815,-0.015,0.845,2434.93,45.051486364
0.815,-0.015,0.855,2967.38,45.051486364
0.815,-0.005,0.775,630.588,45.051486364
0.815,-0.005,0.785,649.143,45.051486364
0.815,-0.005,0.795,574.019,45.051486364
0.815,-0.005,0.805,658.886,45.051486364
0.815,-0.005,0.815,701.404,45.051486364
0.815,-0.005,0.825,831.932,45.051486364
0.815,-0.005,0.835,821.548,45.051486364
0.815,-0.005,0.845,1074.76,45.051486364
0.815,-0.005,0.855,2269.97,45.051486364
0.815,0.005,0.775,292.481,45.051486364
0.815,0.005,0.785,212.247,45.051486364
0.815,0.005,0.795,151.521,45.051486364
0.815,0.005,0.805,71.7592,45.051486364
0.815,0.005,0.815,87.6893,45.051486364
0.815,0.005,0.825,152.829,45.051486364
0.815,0.015,0.805,161.21,45.051486364
0.815,0.015,0.815,72.4057,45.051486364
0.815,0.015,0.825,29.0784,45.051486364
0.815,0.015,0.835,14.225,45.051486364
