X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.805,-0.005,0.775,324.388,42.206671022
0.805,-0.005,0.785,356.473,42.206671022
0.805,-0.005,0.795,461.806,42.206671022
0.805,-0.005,0.805,544.725,42.206671022
0.805,-0.005,0.815,621.755,42.206671022
0.805,-0.005,0.825,784.745,42.206671022
0.805,-0.005,0.835,1032.85,42.206671022
0.805,-0.005,0.845,1151.23,42.206671022
0.805,-0.005,0.855,1683.48,42.206671022
0.805,0.005,0.775,473.497,42.206671022
0.805,0.005,0.785,466.513,42.206671022
0.805,0.005,0.795,460.325,42.206671022
0.805,0.005,0.805,607.839,42.206671022
0.805,0.005,0.815,803.246,42.206671022
0.805,0.005,0.825,993.712,42.206671022
0.805,0.005,0.835,1017.71,42.206671022
0.805,0.005,0.845,1066.97,42.206671022
0.805,0.005,0.855,1548.71,42.206671022
0.805,0.015,0.775,753.18,42.206671022
0.805,0.015,0.785,860.761,42.206671022
0.805,0.015,0.795,900.594,42.206671022
0.805,0.015,0.805,1101.15,42.206671022
0.805,0.015,0.815,1388.86,42.206671022
0.805,0.015,0.825,1439.69,42.206671022
0.805,0.015,0.835,1565.96,42.206671022
0.805,0.015,0.845,1614.15,42.206671022
0.805,0.025,0.775,896.52,42.206671022
0.805,0.025,0.785,1122.55,42.206671022
0.805,0.025,0.795,1208.16,42.206671022
0.805,0.025,0.805,1443.66,42.206671022
0.805,0.025,0.815,1646.72,42.206671022
0.805,0.025,0.825,1779.85,42.206671022
0.805,0.025,0.835,1946.51,42.206671022
0.805,0.025,0.845,1985.15,42.206671022
0.805,0.035,0.775,737.768,42.206671022
0.805,0.035,0.785,1037.11,42.206671022
0.805,0.035,0.795,1258.76,42.206671022
0.805,0.035,0.805,1555.38,42.206671022
0.805,0.035,0.815,1740.71,42.206671022
0.805,0.035,0.825,1848.47,42.206671022
0.805,0.035,0.835,1982.97,42.206671022
0.805,0.035,0.845,2179.37,42.206671022
0.805,0.045,0.775,87.9324,42.206671022
0.805,0.045,0.825,19.6256,42.206671022
0.805,0.045,0.835,20.5024,42.206671022
0.805,0.045,0.845,43.3796,42.206671022
0.815,-0.025,0.785,84.2358,42.206671022
0.815,-0.025,0.805,133.553,42.206671022
0.815,-0.025,0.815,234.027,42.206671022
0.815,-0.025,0.825,218.53,42.206671022
0.815,-0.025,0.845,399.601,42.206671022
0.815,-0.015,0.775,287.547,42.206671022
0.815,-0.015,0.785,203.25,42.206671022
0.815,-0.015,0.795,375.338,42.206671022
0.815,-0.015,0.805,454.516,42.206671022
0.815,-0.015,0.815,537.123,42.206671022
0.815,-0.015,0.825,607.741,42.206671022
0.815,-0.015,0.835,959.419,42.206671022
0.815,-0.015,0.845,1341.59,42.206671022
0.815,-0.005,0.775,212.385,42.206671022
0.815,-0.005,0.785,184.588,42.206671022
0.815,-0.005,0.795,270.41,42.206671022
0.815,-0.005,0.805,314.417,42.206671022
0.815,-0.005,0.815,331.257,42.206671022
0.815,-0.005,0.825,414.516,42.206671022
0.815,-0.005,0.835,416.302,42.206671022
0.815,-0.005,0.845,686.733,42.206671022
0.815,-0.005,0.855,1485.73,42.206671022
0.815,0.005,0.775,14.0963,42.206671022
0.815,0.005,0.815,25.1331,42.206671022
0.815,0.005,0.835,35.2299,42.206671022
0.815,0.045,0.775,1131.99,42.206671022
0.815,0.045,0.785,1457.8,42.206671022
0.815,0.045,0.795,1633.22,42.206671022
0.815,0.045,0.805,1747.2,42.206671022
0.815,0.045,0.815,1688.23,42.206671022
0.815,0.045,0.825,1825.8,42.206671022
0.815,0.045,0.835,2015.93,42.206671022
0.815,0.045,0.845,2175.39,42.206671022
0.815,0.045,0.855,1991.8,42.206671022
0.815,0.055,0.775,98.2212,42.206671022
0.825,-0.025,0.775,349.389,42.206671022
0.825,-0.025,0.785,191.382,42.206671022
0.825,-0.025,0.795,160.182,42.206671022
0.825,-0.025,0.805,204.366,42.206671022
0.825,-0.025,0.815,224.399,42.206671022
0.825,-0.025,0.825,349.111,42.206671022
0.825,-0.025,0.835,852.011,42.206671022
0.825,-0.025,0.845,920.604,42.206671022
0.825,-0.015,0.775,298.308,42.206671022
0.825,-0.015,0.785,93.5061,42.206671022
0.825,-0.015,0.795,170.352,42.206671022
0.825,-0.015,0.805,139.718,42.206671022
0.825,-0.015,0.815,195.033,42.206671022
0.825,-0.015,0.825,291.672,42.206671022
0.825,-0.015,0.835,535.981,42.206671022
0.825,-0.015,0.845,808.268,42.206671022
0.825,-0.015,0.855,1349.73,42.206671022
0.825,-0.005,0.775,183.535,42.206671022
0.825,-0.005,0.795,16.5112,42.206671022
0.825,-0.005,0.835,28.5269,42.206671022
0.825,-0.005,0.855,14.7494,42.206671022
0.825,0.055,0.775,523.917,42.206671022
0.825,0.055,0.785,696.059,42.206671022
0.825,0.055,0.795,675.272,42.206671022
0.825,0.055,0.805,592.916,42.206671022
0.825,0.055,0.815,771.992,42.206671022
0.825,0.055,0.825,1062.03,42.206671022
0.825,0.055,0.835,1080.9,42.206671022
0.825,0.055,0.845,1256.77,42.206671022
0.825,0.055,0.855,1430.12,42.206671022
0.835,-0.025,0.845,936.852,42.206671022
0.835,-0.025,0.855,1484.94,42.206671022
0.835,-0.015,0.845,139.488,42.206671022
0.835,-0.015,0.855,176.225,42.206671022
0.835,0.055,0.775,1544.96,42.206671022
0.835,0.055,0.795,1364.2,42.206671022
0.835,0.055,0.815,1150.32,42.206671022
0.835,0.055,0.825,1275.51,42.206671022
0.835,0.055,0.835,1265.34,42.206671022
0.835,0.055,0.845,1715.36,42.206671022
0.835,0.065,0.775,612.793,42.206671022
0.835,0.065,0.795,567.681,42.206671022
0.835,0.065,0.845,474.818,42.206671022
0.835,0.075,0.775,363.899,42.206671022
0.835,0.075,0.835,224.085,42.206671022
0.835,0.075,0.845,993.211,42.206671022
0.835,0.085,0.775,57.2016,42.206671022
0.835,0.085,0.785,241.279,42.206671022
0.835,0.085,0.795,482.673,42.206671022
0.835,0.085,0.805,1073.08,42.206671022
0.835,0.085,0.815,1397.88,42.206671022
0.835,0.085,0.825,1561.35,42.206671022
0.835,0.085,0.835,1591.95,42.206671022
0.845,-0.025,0.845,896.731,42.206671022
0.845,-0.025,0.855,1311.26,42.206671022
0.845,-0.015,0.855,25.4699,42.206671022
0.845,0.055,0.785,650.602,42.206671022
0.845,0.055,0.845,211.157,42.206671022
0.845,0.055,0.855,827.114,42.206671022
0.845,0.065,0.775,95.198,42.206671022
0.845,0.065,0.785,652.689,42.206671022
0.845,0.065,0.835,61.2305,42.206671022
0.845,0.075,0.775,216.49,42.206671022
0.845,0.075,0.835,27.839,42.206671022
0.845,0.075,0.845,349.469,42.206671022
0.845,0.085,0.775,11.6911,42.206671022
