X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.795,-0.005,0.765,1398.6,42.425505612
0.795,-0.005,0.775,2019.81,42.425505612
0.795,-0.005,0.805,1109.46,42.425505612
0.795,-0.005,0.815,381.557,42.425505612
0.795,-0.005,0.825,958.866,42.425505612
0.795,0.005,0.765,321.87,42.425505612
0.795,0.005,0.775,1151.85,42.425505612
0.795,0.005,0.785,1903.22,42.425505612
0.795,0.005,0.795,2352.48,42.425505612
0.795,0.005,0.805,2068.3,42.425505612
0.795,0.005,0.815,1089.88,42.425505612
0.795,0.005,0.825,1003.04,42.425505612
0.795,0.005,0.835,1170.64,42.425505612
0.795,0.005,0.845,1101.41,42.425505612
0.795,0.015,0.765,705.642,42.425505612
0.795,0.015,0.775,1115.83,42.425505612
0.795,0.015,0.785,1107.51,42.425505612
0.795,0.015,0.795,1225.54,42.425505612
0.795,0.015,0.805,1355.05,42.425505612
0.795,0.015,0.815,1055.41,42.425505612
0.795,0.015,0.825,1345.48,42.425505612
0.795,0.015,0.835,1220.24,42.425505612
0.795,0.015,0.845,816.209,42.425505612
0.795,0.025,0.765,615.788,42.425505612
0.795,0.025,0.775,1314.67,42.425505612
0.795,0.025,0.785,1118.45,42.425505612
0.795,0.025,0.795,1177.66,42.425505612
0.795,0.025,0.805,1108.38,42.425505612
0.795,0.025,0.815,1038.91,42.425505612
0.795,0.025,0.825,1109.1,42.425505612
0.795,0.025,0.835,913.934,42.425505612
0.795,0.025,0.845,936.033,42.425505612
0.805,-0.055,0.765,54.8285,42.425505612
0.805,-0.015,0.765,579.614,42.425505612
0.805,-0.015,0.775,385.34,42.425505612
0.805,-0.015,0.785,197.173,42.425505612
0.805,-0.015,0.795,120.97,42.425505612
0.805,-0.015,0.805,122.478,42.425505612
0.805,-0.015,0.815,204.339,42.425505612
0.805,-0.015,0.825,569.119,42.425505612
0.805,-0.015,0.835,863.54,42.425505612
0.805,-0.015,0.845,695.391,42.425505612
0.805,-0.005,0.765,438.402,42.425505612
0.805,-0.005,0.775,559.551,42.425505612
0.805,-0.005,0.785,435.921,42.425505612
0.805,-0.005,0.795,181.271,42.425505612
0.805,-0.005,0.805,55.6514,42.425505612
0.805,-0.005,0.815,113.007,42.425505612
0.805,-0.005,0.825,409.581,42.425505612
0.805,-0.005,0.835,642.838,42.425505612
0.805,-0.005,0.845,503.67,42.425505612
0.805,-0.005,0.855,99.9441,42.425505612
0.805,0.005,0.765,98.3808,42.425505612
0.805,0.005,0.775,62.7756,42.425505612
0.805,0.005,0.785,59.2039,42.425505612
0.805,0.005,0.795,108.05,42.425505612
0.805,0.005,0.805,32.4234,42.425505612
0.805,0.005,0.815,14.5327,42.425505612
0.805,0.005,0.825,275.233,42.425505612
0.805,0.005,0.835,195.502,42.425505612
0.805,0.005,0.845,44.874,42.425505612
0.805,0.015,0.765,140.752,42.425505612
0.805,0.015,0.775,149.027,42.425505612
0.805,0.015,0.785,242.079,42.425505612
0.805,0.015,0.795,256.489,42.425505612
0.805,0.015,0.805,259.649,42.425505612
0.805,0.015,0.815,62.6404,42.425505612
0.805,0.015,0.825,199.169,42.425505612
0.805,0.015,0.835,199.819,42.425505612
0.805,0.015,0.845,24.499,42.425505612
0.805,0.025,0.765,602.301,42.425505612
0.805,0.025,0.775,801.219,42.425505612
0.805,0.025,0.785,572.337,42.425505612
0.805,0.025,0.795,649.424,42.425505612
0.805,0.025,0.805,678.573,42.425505612
0.805,0.025,0.815,565.626,42.425505612
0.805,0.025,0.825,576.27,42.425505612
0.805,0.025,0.835,658.463,42.425505612
0.805,0.025,0.845,484.925,42.425505612
0.805,0.025,0.855,27.9491,42.425505612
0.805,0.035,0.765,723.678,42.425505612
0.805,0.035,0.775,1027.33,42.425505612
0.805,0.035,0.785,651.852,42.425505612
0.805,0.035,0.795,738.315,42.425505612
0.805,0.035,0.805,555.125,42.425505612
0.805,0.035,0.815,854.515,42.425505612
0.805,0.035,0.825,944.929,42.425505612
0.805,0.035,0.835,999.894,42.425505612
0.805,0.035,0.845,717.63,42.425505612
0.805,0.035,0.855,220.637,42.425505612
0.805,0.045,0.765,475.483,42.425505612
0.805,0.045,0.775,571.849,42.425505612
0.805,0.045,0.785,334.024,42.425505612
0.805,0.045,0.795,165.323,42.425505612
0.805,0.045,0.805,227.676,42.425505612
0.805,0.045,0.815,529.735,42.425505612
0.805,0.045,0.825,760.796,42.425505612
0.805,0.045,0.835,852.893,42.425505612
0.805,0.045,0.845,676.053,42.425505612
0.815,-0.025,0.765,249.13,42.425505612
0.815,-0.025,0.775,207.836,42.425505612
0.815,-0.025,0.785,82.4723,42.425505612
0.815,-0.025,0.795,20.846,42.425505612
0.815,-0.025,0.805,98.1099,42.425505612
0.815,-0.025,0.815,477.268,42.425505612
