X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.795,-0.005,0.775,2365.78,42.433958427
0.795,-0.005,0.785,2298.79,42.433958427
0.795,-0.005,0.795,2285.8,42.433958427
0.795,-0.005,0.805,2230.95,42.433958427
0.795,-0.005,0.815,1933.79,42.433958427
0.795,-0.005,0.835,688.593,42.433958427
0.795,-0.005,0.845,1582.09,42.433958427
0.795,0.005,0.775,2432.38,42.433958427
0.795,0.005,0.785,2255.62,42.433958427
0.795,0.005,0.795,2228.87,42.433958427
0.795,0.005,0.805,2166.4,42.433958427
0.795,0.005,0.815,2017.9,42.433958427
0.795,0.005,0.825,1339.75,42.433958427
0.795,0.005,0.835,947.252,42.433958427
0.795,0.005,0.845,1011.7,42.433958427
0.795,0.015,0.775,2326.42,42.433958427
0.795,0.015,0.785,2138.97,42.433958427
0.795,0.015,0.795,1774.27,42.433958427
0.795,0.015,0.805,1724.02,42.433958427
0.795,0.015,0.815,1511.56,42.433958427
0.795,0.015,0.825,974.628,42.433958427
0.795,0.015,0.835,504.797,42.433958427
0.795,0.015,0.845,693.358,42.433958427
0.795,0.025,0.775,1626.41,42.433958427
0.795,0.025,0.785,1750,42.433958427
0.795,0.025,0.795,1620.28,42.433958427
0.795,0.025,0.805,1374.01,42.433958427
0.795,0.025,0.815,1254.28,42.433958427
0.795,0.025,0.825,1083.7,42.433958427
0.795,0.025,0.835,917.509,42.433958427
0.795,0.025,0.845,981.907,42.433958427
0.795,0.035,0.775,603.415,42.433958427
0.795,0.035,0.785,337.295,42.433958427
0.795,0.035,0.795,365.796,42.433958427
0.795,0.035,0.805,455.89,42.433958427
0.795,0.035,0.815,522.157,42.433958427
0.795,0.035,0.825,521.117,42.433958427
0.795,0.035,0.835,825.46,42.433958427
0.795,0.035,0.845,728.264,42.433958427
0.795,0.045,0.815,14.1634,42.433958427
0.805,-0.025,0.825,125.633,42.433958427
0.805,-0.025,0.835,222.768,42.433958427
0.805,-0.015,0.775,379.799,42.433958427
0.805,-0.015,0.785,151.153,42.433958427
0.805,-0.015,0.795,26.9687,42.433958427
0.805,-0.015,0.805,69.8213,42.433958427
0.805,-0.015,0.815,101.698,42.433958427
0.805,-0.015,0.825,198.904,42.433958427
0.805,-0.015,0.835,421.86,42.433958427
0.805,-0.015,0.845,1295.39,42.433958427
0.805,-0.005,0.775,541.679,42.433958427
0.805,-0.005,0.785,454.422,42.433958427
0.805,-0.005,0.795,229.221,42.433958427
0.805,-0.005,0.805,77.6554,42.433958427
0.805,-0.005,0.815,81.0167,42.433958427
0.805,-0.005,0.825,75.6338,42.433958427
0.805,-0.005,0.835,149.673,42.433958427
0.805,-0.005,0.845,232.634,42.433958427
0.805,0.005,0.845,30.461,42.433958427
0.805,0.035,0.825,470.835,42.433958427
0.805,0.035,0.835,871.404,42.433958427
0.805,0.035,0.845,963.099,42.433958427
0.805,0.045,0.775,473.695,42.433958427
0.805,0.045,0.785,272.997,42.433958427
0.805,0.045,0.795,124.732,42.433958427
0.805,0.045,0.805,207.473,42.433958427
0.805,0.045,0.815,348.628,42.433958427
0.805,0.045,0.825,345.915,42.433958427
0.805,0.045,0.835,294.205,42.433958427
0.805,0.045,0.845,674.739,42.433958427
0.805,0.055,0.775,260.223,42.433958427
0.805,0.055,0.845,391.905,42.433958427
0.815,-0.025,0.815,537.724,42.433958427
0.815,-0.025,0.825,404.552,42.433958427
0.815,-0.025,0.835,491.434,42.433958427
0.815,-0.025,0.845,897.921,42.433958427
0.815,-0.015,0.775,219.815,42.433958427
0.815,-0.015,0.785,20.6209,42.433958427
0.815,-0.015,0.795,17.2006,42.433958427
0.815,-0.015,0.805,69.9196,42.433958427
0.815,-0.015,0.815,132.483,42.433958427
0.815,-0.015,0.825,244.196,42.433958427
0.815,-0.015,0.835,488.115,42.433958427
0.815,-0.015,0.845,660.115,42.433958427
0.815,0.055,0.775,207.997,42.433958427
0.815,0.055,0.785,6.34324,42.433958427
0.815,0.055,0.805,13.6491,42.433958427
0.815,0.055,0.815,53.6903,42.433958427
0.815,0.055,0.825,156.436,42.433958427
0.815,0.055,0.835,190.756,42.433958427
0.815,0.055,0.845,637.208,42.433958427
0.815,0.065,0.815,7.11041,42.433958427
0.815,0.065,0.825,53.5098,42.433958427
0.815,0.065,0.835,31.3759,42.433958427
0.835,0.065,0.775,1276.12,42.433958427
0.835,0.065,0.835,65.8253,42.433958427
0.835,0.065,0.845,1068.36,42.433958427
0.835,0.075,0.775,376.352,42.433958427
0.835,0.075,0.835,313.652,42.433958427
0.845,-0.015,0.825,17.1171,42.433958427
0.845,-0.015,0.835,135.044,42.433958427
0.845,-0.015,0.845,198.043,42.433958427
0.845,0.055,0.825,479.054,42.433958427
0.845,0.055,0.845,690.025,42.433958427
0.845,0.065,0.835,38.9837,42.433958427
0.845,0.065,0.845,606.657,42.433958427
0.845,0.075,0.835,364.133,42.433958427
0.845,0.075,0.845,983.747,42.433958427
