X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.805,-0.015,0.775,38.308,41.949532460
0.805,-0.015,0.785,59.2402,41.949532460
0.805,-0.015,0.795,77.162,41.949532460
0.805,-0.015,0.805,121.466,41.949532460
0.805,-0.015,0.815,217.921,41.949532460
0.805,-0.015,0.825,303.846,41.949532460
0.805,-0.015,0.835,715.007,41.949532460
0.805,-0.015,0.845,1313.77,41.949532460
0.805,-0.005,0.775,68.4191,41.949532460
0.805,-0.005,0.785,10.8215,41.949532460
0.805,-0.005,0.825,169.25,41.949532460
0.805,-0.005,0.835,409.741,41.949532460
0.805,-0.005,0.845,529.064,41.949532460
0.805,0.005,0.845,54.5613,41.949532460
0.805,0.025,0.775,447.62,41.949532460
0.805,0.025,0.785,531.769,41.949532460
0.805,0.025,0.795,351.136,41.949532460
0.805,0.025,0.805,327.807,41.949532460
0.805,0.025,0.815,497.409,41.949532460
0.805,0.025,0.825,1102.88,41.949532460
0.805,0.025,0.835,699.142,41.949532460
0.805,0.025,0.845,899.458,41.949532460
0.805,0.035,0.775,1644.23,41.949532460
0.805,0.035,0.785,1795.32,41.949532460
0.805,0.035,0.795,1151.3,41.949532460
0.805,0.035,0.805,1112.93,41.949532460
0.805,0.035,0.815,1797.35,41.949532460
0.805,0.035,0.825,3049.65,41.949532460
0.805,0.035,0.835,2674.85,41.949532460
0.805,0.035,0.845,2945.61,41.949532460
0.815,-0.035,0.805,1616.13,41.949532460
0.815,-0.025,0.775,39.1528,41.949532460
0.815,-0.025,0.785,343.986,41.949532460
0.815,-0.025,0.795,657.762,41.949532460
0.815,-0.025,0.805,969.561,41.949532460
0.815,-0.025,0.815,1259.92,41.949532460
0.815,-0.025,0.825,635.51,41.949532460
0.815,-0.025,0.835,275.391,41.949532460
0.815,-0.025,0.845,671.072,41.949532460
0.815,-0.015,0.845,281.508,41.949532460
0.815,0.035,0.845,1746.89,41.949532460
0.815,0.045,0.775,2137.55,41.949532460
0.815,0.045,0.785,2279,41.949532460
0.815,0.045,0.795,1771.05,41.949532460
0.815,0.045,0.805,1699.09,41.949532460
0.815,0.045,0.815,2268.11,41.949532460
0.815,0.045,0.825,3524.77,41.949532460
0.815,0.045,0.835,4997.37,41.949532460
0.815,0.045,0.845,4469.75,41.949532460
0.825,-0.025,0.845,457.477,41.949532460
0.825,0.045,0.775,2609.8,41.949532460
0.825,0.045,0.805,2120.34,41.949532460
0.825,0.045,0.815,2320.2,41.949532460
0.825,0.045,0.825,3340.87,41.949532460
0.825,0.045,0.835,3582.02,41.949532460
0.825,0.045,0.845,3511.56,41.949532460
0.825,0.055,0.795,237.173,41.949532460
0.825,0.055,0.805,138.176,41.949532460
0.825,0.055,0.825,433.967,41.949532460
0.835,0.045,0.775,1769.51,41.949532460
0.835,0.055,0.825,103.782,41.949532460
0.835,0.055,0.835,622.187,41.949532460
0.835,0.055,0.845,3104.89,41.949532460
0.835,0.065,0.835,2212.97,41.949532460
0.835,0.075,0.825,3130.45,41.949532460
0.835,0.075,0.835,2400.76,41.949532460
0.835,0.085,0.825,624.104,41.949532460
0.845,-0.025,0.845,699.41,41.949532460
0.845,0.045,0.845,792.448,41.949532460
0.845,0.055,0.775,261.813,41.949532460
0.845,0.055,0.845,262.153,41.949532460
0.845,0.065,0.775,81.6181,41.949532460
0.845,0.065,0.835,632.583,41.949532460
0.845,0.065,0.845,59.3862,41.949532460
0.845,0.075,0.775,90.0406,41.949532460
0.845,0.075,0.785,6.874,41.949532460
0.845,0.075,0.795,5.29837,41.949532460
0.845,0.075,0.805,2.16868,41.949532460
0.845,0.075,0.825,974.143,41.949532460
0.845,0.075,0.835,548.199,41.949532460
0.845,0.085,0.815,11.5264,41.949532460
0.855,-0.025,0.835,784.587,41.949532460
0.855,-0.025,0.845,295.912,41.949532460
0.855,0.045,0.835,21.848,41.949532460
0.865,-0.015,0.825,346.592,41.949532460
0.865,-0.015,0.835,141.688,41.949532460
0.865,-0.015,0.845,54.817,41.949532460
0.865,-0.005,0.815,662.244,41.949532460
0.865,-0.005,0.825,477.946,41.949532460
0.865,-0.005,0.835,258.34,41.949532460
0.865,-0.005,0.845,123.793,41.949532460
0.865,0.025,0.815,239.154,41.949532460
0.865,0.035,0.815,148.494,41.949532460
0.865,0.035,0.825,11.3109,41.949532460
