X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.805,-0.025,0.825,1354.57,43.687431663
0.805,-0.015,0.775,148.023,43.687431663
0.805,-0.015,0.785,265.091,43.687431663
0.805,-0.015,0.795,412.058,43.687431663
0.805,-0.015,0.805,666.092,43.687431663
0.805,-0.015,0.815,872.835,43.687431663
0.805,-0.015,0.825,1421.28,43.687431663
0.805,-0.015,0.835,1849.97,43.687431663
0.805,-0.015,0.845,293.723,43.687431663
0.805,-0.005,0.775,193.576,43.687431663
0.805,-0.005,0.785,250.897,43.687431663
0.805,-0.005,0.795,395.428,43.687431663
0.805,-0.005,0.805,722.424,43.687431663
0.805,-0.005,0.815,979.095,43.687431663
0.805,-0.005,0.825,1245.21,43.687431663
0.805,-0.005,0.835,1287.92,43.687431663
0.805,-0.005,0.845,117.403,43.687431663
0.805,0.005,0.775,545.48,43.687431663
0.805,0.005,0.785,620.249,43.687431663
0.805,0.005,0.795,344.744,43.687431663
0.805,0.005,0.805,296.033,43.687431663
0.805,0.005,0.835,832.837,43.687431663
0.805,0.005,0.845,11.4217,43.687431663
0.805,0.025,0.775,377.303,43.687431663
0.805,0.025,0.785,515.711,43.687431663
0.805,0.025,0.795,470.501,43.687431663
0.805,0.025,0.805,449.579,43.687431663
0.805,0.025,0.815,800.181,43.687431663
0.805,0.025,0.825,761.948,43.687431663
0.805,0.025,0.835,887.973,43.687431663
0.805,0.025,0.845,299.595,43.687431663
0.805,0.025,0.855,93.3195,43.687431663
0.805,0.035,0.775,651.08,43.687431663
0.805,0.035,0.785,1008.68,43.687431663
0.805,0.035,0.795,1275.9,43.687431663
0.805,0.035,0.805,1634.12,43.687431663
0.805,0.035,0.815,2200.93,43.687431663
0.805,0.035,0.825,2458.52,43.687431663
0.805,0.035,0.835,2113.72,43.687431663
0.805,0.035,0.845,1190.92,43.687431663
0.805,0.035,0.855,658.032,43.687431663
0.805,0.045,0.775,371.289,43.687431663
0.805,0.045,0.785,1069.08,43.687431663
0.805,0.045,0.795,1943.02,43.687431663
0.805,0.045,0.805,2322.96,43.687431663
0.805,0.045,0.815,2899.07,43.687431663
0.805,0.045,0.825,2974.36,43.687431663
0.805,0.045,0.835,2192.74,43.687431663
0.805,0.045,0.845,1325.56,43.687431663
0.815,-0.035,0.795,403.424,43.687431663
