X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.805,-0.015,0.775,1093.22,45.135853529
0.805,-0.015,0.785,1161.86,45.135853529
0.805,-0.015,0.795,1247.2,45.135853529
0.805,-0.015,0.805,1354.73,45.135853529
0.805,-0.015,0.815,1592.32,45.135853529
0.805,-0.015,0.825,1768.13,45.135853529
0.805,-0.015,0.835,1965.76,45.135853529
0.805,-0.015,0.845,2108.41,45.135853529
0.805,-0.005,0.775,1204.61,45.135853529
0.805,-0.005,0.785,1236.38,45.135853529
0.805,-0.005,0.795,1422.55,45.135853529
0.805,-0.005,0.805,1579.23,45.135853529
0.805,-0.005,0.815,1742.82,45.135853529
0.805,-0.005,0.825,1919.8,45.135853529
0.805,-0.005,0.835,2087.65,45.135853529
0.805,-0.005,0.845,2229.93,45.135853529
0.805,0.005,0.775,917.44,45.135853529
0.805,0.005,0.785,918.526,45.135853529
0.805,0.005,0.795,849.39,45.135853529
0.805,0.005,0.805,952.658,45.135853529
0.805,0.005,0.815,1073.49,45.135853529
0.805,0.005,0.825,1127.63,45.135853529
0.805,0.005,0.835,1152.1,45.135853529
0.805,0.005,0.845,1284.86,45.135853529
0.805,0.015,0.775,949.385,45.135853529
0.805,0.015,0.785,1040.62,45.135853529
0.805,0.015,0.795,914.48,45.135853529
0.805,0.015,0.805,898.626,45.135853529
0.805,0.015,0.815,978.524,45.135853529
0.805,0.015,0.825,988.99,45.135853529
0.805,0.025,0.775,1341.7,45.135853529
0.805,0.025,0.785,1527.19,45.135853529
0.805,0.025,0.795,1687.3,45.135853529
0.805,0.025,0.805,2169.78,45.135853529
0.805,0.025,0.815,2598.57,45.135853529
0.805,0.025,0.825,2725.08,45.135853529
0.805,0.025,0.845,2575.27,45.135853529
0.805,0.035,0.775,1506.79,45.135853529
0.805,0.035,0.785,1835.91,45.135853529
0.805,0.035,0.795,2279.14,45.135853529
0.805,0.035,0.805,2860.69,45.135853529
0.805,0.035,0.815,3295,45.135853529
0.805,0.035,0.825,3420.21,45.135853529
0.805,0.035,0.835,3244.35,45.135853529
0.805,0.035,0.845,2843.74,45.135853529
0.805,0.045,0.775,515.996,45.135853529
0.805,0.045,0.785,786.476,45.135853529
0.805,0.045,0.795,1195.28,45.135853529
0.805,0.045,0.805,1561.5,45.135853529
0.805,0.045,0.815,1845.94,45.135853529
0.805,0.045,0.825,2018.3,45.135853529
0.805,0.045,0.835,2103.29,45.135853529
0.805,0.045,0.845,2150.52,45.135853529
0.815,-0.025,0.775,1125.63,45.135853529
0.815,-0.025,0.785,1203.75,45.135853529
