X_pos,Y_pos,Z_pos,UV_dose,Execution_time,Num_cells_in_region
0.755,0.015,0.775,365.908,33.617086002,1113
0.755,0.025,0.775,378.381,33.617086002,1113
0.755,0.035,0.775,425.942,33.617086002,1113
0.765,-0.005,0.775,108.176,33.617086002,1113
0.765,0.005,0.775,239.41,33.617086002,1113
0.765,0.015,0.775,246.255,33.617086002,1113
0.765,0.015,0.785,425.515,33.617086002,1113
0.765,0.025,0.775,178.021,33.617086002,1113
0.765,0.025,0.785,520.901,33.617086002,1113
0.765,0.035,0.775,152.438,33.617086002,1113
0.765,0.035,0.785,552.835,33.617086002,1113
0.765,0.045,0.775,167.178,33.617086002,1113
0.765,0.045,0.785,617.935,33.617086002,1113
0.765,0.055,0.775,278.367,33.617086002,1113
0.775,-0.015,0.775,189.562,33.617086002,1113
0.775,-0.005,0.775,169.668,33.617086002,1113
0.775,-0.005,0.785,286.162,33.617086002,1113
0.775,-0.005,0.795,270.655,33.617086002,1113
0.775,0.005,0.785,291.173,33.617086002,1113
0.775,0.005,0.795,383.906,33.617086002,1113
0.775,0.005,0.805,417.936,33.617086002,1113
0.775,0.005,0.815,500.847,33.617086002,1113
0.775,0.015,0.785,287.483,33.617086002,1113
0.775,0.015,0.795,344.276,33.617086002,1113
0.775,0.015,0.805,427.712,33.617086002,1113
0.775,0.015,0.815,556.047,33.617086002,1113
0.775,0.015,0.825,614.126,33.617086002,1113
0.775,0.015,0.835,700.621,33.617086002,1113
0.775,0.015,0.845,757.197,33.617086002,1113
0.775,0.015,0.855,780.973,33.617086002,1113
0.775,0.025,0.785,257.396,33.617086002,1113
0.775,0.025,0.795,366.813,33.617086002,1113
0.775,0.025,0.805,392.738,33.617086002,1113
0.775,0.025,0.815,518.063,33.617086002,1113
0.775,0.025,0.825,600.101,33.617086002,1113
0.775,0.025,0.835,714.153,33.617086002,1113
0.775,0.025,0.845,793.117,33.617086002,1113
0.775,0.025,0.855,870.378,33.617086002,1113
0.775,0.035,0.785,219.344,33.617086002,1113
0.775,0.035,0.795,412.48,33.617086002,1113
0.775,0.035,0.805,542.615,33.617086002,1113
0.775,0.035,0.815,649.573,33.617086002,1113
0.775,0.035,0.825,702.217,33.617086002,1113
0.775,0.035,0.835,773.046,33.617086002,1113
0.775,0.035,0.845,787.934,33.617086002,1113
0.775,0.035,0.855,877.901,33.617086002,1113
0.775,0.045,0.785,288.057,33.617086002,1113
0.775,0.045,0.795,641.31,33.617086002,1113
0.775,0.045,0.805,707.576,33.617086002,1113
0.775,0.045,0.815,748.672,33.617086002,1113
0.775,0.045,0.825,864.064,33.617086002,1113
