X_pos,Y_pos,Z_pos,UV_dose,Execution_time,Num_cells_in_region
0.795,0.015,0.775,191.131,17.610201133,560
0.795,0.015,0.785,223.329,17.610201133,560
0.795,0.015,0.795,258.455,17.610201133,560
0.795,0.015,0.805,258.367,17.610201133,560
0.795,0.015,0.815,304.674,17.610201133,560
0.795,0.015,0.835,353.113,17.610201133,560
0.795,0.015,0.845,319.819,17.610201133,560
0.795,0.025,0.775,160.054,17.610201133,560
0.795,0.025,0.785,213.819,17.610201133,560
0.795,0.025,0.795,238.866,17.610201133,560
0.795,0.025,0.805,240.199,17.610201133,560
0.795,0.025,0.815,307.389,17.610201133,560
0.795,0.025,0.825,330.62,17.610201133,560
0.795,0.025,0.835,343.331,17.610201133,560
0.795,0.025,0.845,348.3,17.610201133,560
0.805,-0.005,0.775,362.63,17.610201133,560
0.805,-0.005,0.785,460.965,17.610201133,560
0.805,-0.005,0.795,466.249,17.610201133,560
0.805,-0.005,0.805,420.856,17.610201133,560
0.805,-0.005,0.815,416.3,17.610201133,560
0.805,-0.005,0.825,369.669,17.610201133,560
0.805,-0.005,0.835,402.025,17.610201133,560
0.805,-0.005,0.845,472.734,17.610201133,560
0.805,0.005,0.775,380.451,17.610201133,560
0.805,0.005,0.785,551.27,17.610201133,560
0.805,0.005,0.795,602.5,17.610201133,560
0.805,0.005,0.805,655.644,17.610201133,560
0.805,0.005,0.815,720.777,17.610201133,560
0.805,0.005,0.825,564.265,17.610201133,560
0.805,0.005,0.835,403.407,17.610201133,560
0.805,0.005,0.845,451.948,17.610201133,560
0.805,0.015,0.775,350.771,17.610201133,560
0.805,0.015,0.785,503.746,17.610201133,560
0.805,0.015,0.795,711.385,17.610201133,560
0.805,0.015,0.805,754.805,17.610201133,560
0.805,0.015,0.815,802.642,17.610201133,560
0.805,0.015,0.825,623.376,17.610201133,560
0.805,0.015,0.835,554.587,17.610201133,560
0.805,0.015,0.845,614.562,17.610201133,560
0.805,0.015,0.855,793.809,17.610201133,560
0.805,0.025,0.775,479.711,17.610201133,560
0.805,0.025,0.785,636.121,17.610201133,560
0.805,0.025,0.795,832.187,17.610201133,560
0.805,0.025,0.805,870.382,17.610201133,560
0.805,0.025,0.815,924.046,17.610201133,560
0.805,0.025,0.825,911.26,17.610201133,560
0.805,0.025,0.835,889.265,17.610201133,560
0.805,0.025,0.845,860.446,17.610201133,560
0.805,0.025,0.855,748.864,17.610201133,560
0.805,0.035,0.775,546.148,17.610201133,560
0.805,0.035,0.785,637.18,17.610201133,560
0.805,0.035,0.795,862.438,17.610201133,560
0.805,0.035,0.805,948.218,17.610201133,560
0.805,0.035,0.815,925.618,17.610201133,560
0.805,0.035,0.825,944.013,17.610201133,560
0.805,0.035,0.835,939.558,17.610201133,560
0.805,0.035,0.845,929.36,17.610201133,560
0.805,0.035,0.855,839.597,17.610201133,560
0.805,0.045,0.775,187.663,17.610201133,560
0.805,0.045,0.785,271.318,17.610201133,560
0.805,0.045,0.795,425.436,17.610201133,560
0.805,0.045,0.805,547.431,17.610201133,560
0.805,0.045,0.815,633.279,17.610201133,560
0.805,0.045,0.825,590.065,17.610201133,560
0.805,0.045,0.835,606.088,17.610201133,560
0.805,0.045,0.845,497.923,17.610201133,560
0.805,0.055,0.815,23.5496,17.610201133,560
0.815,-0.015,0.775,334.613,17.610201133,560
0.815,-0.015,0.785,334.302,17.610201133,560
0.815,-0.015,0.795,317.528,17.610201133,560
0.815,-0.015,0.805,240.651,17.610201133,560
0.815,-0.015,0.815,180.543,17.610201133,560
0.815,-0.015,0.825,204.578,17.610201133,560
0.815,-0.015,0.835,209.401,17.610201133,560
0.815,-0.005,0.775,427.454,17.610201133,560
0.815,-0.005,0.785,468.986,17.610201133,560
0.815,-0.005,0.795,431.33,17.610201133,560
