X_pos,Y_pos,Z_pos,UV_dose,Execution_time,Num_cells_in_region
0.755,-0.195,0.755,93.2212,37.818544709,0
0.755,-0.195,0.765,109.216,37.818544709,0
0.755,-0.185,0.755,131.772,37.818544709,0
0.755,-0.185,0.765,140.075,37.818544709,0
0.755,-0.175,0.755,143.613,37.818544709,0
0.755,-0.175,0.765,142.407,37.818544709,0
0.755,-0.165,0.755,167.633,37.818544709,0
0.755,-0.165,0.765,171.228,37.818544709,0
0.755,-0.155,0.755,197.258,37.818544709,0
0.755,-0.155,0.765,213.483,37.818544709,0
0.755,-0.145,0.755,219.488,37.818544709,0
0.755,-0.145,0.765,227.423,37.818544709,0
0.755,-0.135,0.755,219.064,37.818544709,0
0.755,-0.135,0.765,250.76,37.818544709,0
0.755,-0.125,0.755,263.654,37.818544709,0
0.755,-0.125,0.765,277.179,37.818544709,0
0.755,-0.115,0.755,302.389,37.818544709,0
0.755,-0.115,0.765,280.045,37.818544709,0
0.755,-0.105,0.755,256.178,37.818544709,0
0.755,-0.105,0.765,369.565,37.818544709,0
0.755,-0.095,0.755,283.956,37.818544709,0
0.755,-0.095,0.765,374.528,37.818544709,0
0.755,-0.085,0.755,258.475,37.818544709,0
0.755,-0.085,0.765,316.011,37.818544709,0
0.755,-0.075,0.755,255.373,37.818544709,0
0.755,-0.075,0.765,306.058,37.818544709,0
0.755,-0.065,0.755,263.945,37.818544709,0
0.755,-0.065,0.765,265.5,37.818544709,0
0.755,-0.055,0.755,253.321,37.818544709,0
0.755,-0.055,0.765,230.09,37.818544709,0
0.755,-0.045,0.755,230.323,37.818544709,0
0.755,-0.045,0.765,182.39,37.818544709,0
0.755,-0.035,0.755,226.611,37.818544709,0
0.755,-0.035,0.765,141.566,37.818544709,0
0.755,-0.025,0.755,194.545,37.818544709,0
0.755,-0.025,0.765,128.483,37.818544709,0
0.755,-0.015,0.755,173.555,37.818544709,0
0.755,-0.015,0.765,78.5711,37.818544709,0
0.755,-0.005,0.755,160.116,37.818544709,0
0.755,-0.005,0.765,77.3548,37.818544709,0
0.755,0.005,0.755,121.199,37.818544709,0
0.755,0.005,0.765,63.4686,37.818544709,0
0.755,0.015,0.755,81.3647,37.818544709,0
0.755,0.015,0.765,18.0033,37.818544709,0
0.755,0.025,0.755,49.9953,37.818544709,0
0.755,0.035,0.755,26.1472,37.818544709,0
0.755,0.045,0.755,13.3929,37.818544709,0
0.755,0.135,0.755,194.01,37.818544709,0
0.755,0.145,0.745,22.6334,37.818544709,0
0.755,0.145,0.755,195.65,37.818544709,0
0.755,0.155,0.755,197.168,37.818544709,0
0.755,0.165,0.755,198.338,37.818544709,0
0.755,0.165,0.765,192.668,37.818544709,0
0.755,0.175,0.755,198.696,37.818544709,0
0.755,0.185,0.755,204.774,37.818544709,0
0.755,0.195,0.755,205.663,37.818544709,0
0.765,-0.195,0.755,118.577,37.818544709,0
0.765,-0.195,0.765,104.045,37.818544709,0
0.765,-0.185,0.755,141.402,37.818544709,0
0.765,-0.185,0.765,133.585,37.818544709,0
0.765,-0.175,0.755,151.957,37.818544709,0
0.765,-0.175,0.765,150.765,37.818544709,0
0.765,-0.165,0.755,183.573,37.818544709,0
0.765,-0.165,0.765,201.145,37.818544709,0
0.765,-0.155,0.755,208.134,37.818544709,0
0.765,-0.155,0.765,213.283,37.818544709,0
0.765,-0.145,0.755,236.284,37.818544709,0
0.765,-0.145,0.765,267.81,37.818544709,0
0.765,-0.135,0.755,220.919,37.818544709,0
0.765,-0.135,0.765,280.544,37.818544709,0
0.765,-0.125,0.755,242.096,37.818544709,0
0.765,-0.125,0.765,303.272,37.818544709,0
0.765,-0.115,0.755,260.953,37.818544709,0
0.765,-0.115,0.765,342.039,37.818544709,0
