X_pos,Y_pos,Z_pos,UV_dose,Execution_time,Num_cells_in_region
0.765,0.015,0.775,80.5532,13.649089750,1583
0.765,0.025,0.775,71.155,13.649089750,1583
0.765,0.035,0.775,67.3673,13.649089750,1583
0.765,0.045,0.775,173.737,13.649089750,1583
0.765,0.045,0.785,173.059,13.649089750,1583
0.765,0.055,0.775,160.122,13.649089750,1583
0.765,0.065,0.775,140.745,13.649089750,1583
0.765,0.075,0.775,137.378,13.649089750,1583
0.775,-0.015,0.775,76.3338,13.649089750,1583
0.775,-0.005,0.775,70.6148,13.649089750,1583
0.775,0.005,0.775,39.872,13.649089750,1583
0.775,0.005,0.785,92.5665,13.649089750,1583
0.775,0.015,0.785,33.6302,13.649089750,1583
0.775,0.015,0.795,104.408,13.649089750,1583
0.775,0.015,0.805,119.283,13.649089750,1583
0.775,0.015,0.815,134.907,13.649089750,1583
0.775,0.025,0.785,14.5493,13.649089750,1583
0.775,0.025,0.795,56.778,13.649089750,1583
0.775,0.025,0.805,91.9753,13.649089750,1583
0.775,0.025,0.815,117.917,13.649089750,1583
0.775,0.025,0.825,130.069,13.649089750,1583
0.775,0.025,0.835,138.133,13.649089750,1583
0.775,0.035,0.775,4.81995,13.649089750,1583
0.775,0.035,0.785,47.881,13.649089750,1583
0.775,0.035,0.795,101.984,13.649089750,1583
0.775,0.035,0.805,108.178,13.649089750,1583
0.775,0.035,0.815,108.201,13.649089750,1583
0.775,0.035,0.825,126.445,13.649089750,1583
0.775,0.035,0.835,131.188,13.649089750,1583
0.775,0.045,0.775,24.8587,13.649089750,1583
0.775,0.045,0.785,187.377,13.649089750,1583
0.775,0.045,0.795,212.367,13.649089750,1583
0.775,0.045,0.805,219.454,13.649089750,1583
0.775,0.045,0.815,226.729,13.649089750,1583
0.775,0.045,0.825,246.055,13.649089750,1583
0.775,0.045,0.835,135.901,13.649089750,1583
0.775,0.045,0.845,122.168,13.649089750,1583
0.775,0.055,0.775,38.0264,13.649089750,1583
0.775,0.055,0.785,186.177,13.649089750,1583
0.775,0.055,0.795,221.944,13.649089750,1583
0.775,0.055,0.805,213.741,13.649089750,1583
0.775,0.055,0.815,226.992,13.649089750,1583
0.775,0.055,0.825,221.82,13.649089750,1583
0.775,0.055,0.835,29.4854,13.649089750,1583
0.775,0.065,0.775,170.237,13.649089750,1583
0.775,0.065,0.785,203.265,13.649089750,1583
0.775,0.065,0.795,197.992,13.649089750,1583
0.775,0.065,0.805,137.77,13.649089750,1583
0.775,0.075,0.775,167.537,13.649089750,1583
