X_pos,Y_pos,Z_pos,UV_dose,Execution_time,Num_cells_in_region
0.795,0.005,0.805,261.401,12.025224696,625
0.795,0.005,0.825,312.019,12.025224696,625
0.795,0.015,0.775,262.765,12.025224696,625
0.795,0.015,0.785,289.101,12.025224696,625
0.795,0.015,0.795,306.992,12.025224696,625
0.795,0.015,0.805,309.116,12.025224696,625
0.795,0.015,0.815,308.854,12.025224696,625
0.795,0.015,0.825,341.595,12.025224696,625
0.795,0.015,0.835,349.899,12.025224696,625
0.795,0.015,0.845,377.654,12.025224696,625
0.795,0.025,0.775,116.235,12.025224696,625
0.795,0.025,0.785,186.541,12.025224696,625
0.795,0.025,0.795,174.907,12.025224696,625
0.795,0.025,0.805,185.147,12.025224696,625
0.795,0.025,0.815,217.54,12.025224696,625
0.795,0.025,0.825,219.992,12.025224696,625
0.795,0.025,0.835,224.815,12.025224696,625
0.795,0.025,0.845,236.479,12.025224696,625
0.795,0.035,0.775,28.4526,12.025224696,625
0.795,0.035,0.785,55.1425,12.025224696,625
0.795,0.035,0.795,69.0002,12.025224696,625
0.795,0.035,0.805,66.062,12.025224696,625
0.795,0.035,0.815,65.9022,12.025224696,625
0.805,-0.015,0.815,127.115,12.025224696,625
0.805,-0.005,0.775,188.86,12.025224696,625
0.805,-0.005,0.785,184.167,12.025224696,625
0.805,-0.005,0.795,165.062,12.025224696,625
0.805,-0.005,0.805,160.971,12.025224696,625
0.805,-0.005,0.815,169.324,12.025224696,625
0.805,-0.005,0.825,175.097,12.025224696,625
0.805,-0.005,0.835,207.4,12.025224696,625
0.805,-0.005,0.845,292.708,12.025224696,625
0.805,-0.005,0.855,250.686,12.025224696,625
0.805,0.005,0.845,291.282,12.025224696,625
0.805,0.005,0.855,212.307,12.025224696,625
0.805,0.015,0.855,153.67,12.025224696,625
0.805,0.025,0.775,84.8209,12.025224696,625
0.805,0.025,0.785,82.6823,12.025224696,625
0.805,0.025,0.795,95.7396,12.025224696,625
0.805,0.025,0.845,160.64,12.025224696,625
0.805,0.035,0.775,128.503,12.025224696,625
0.805,0.035,0.785,132.861,12.025224696,625
0.805,0.035,0.795,140.761,12.025224696,625
0.805,0.035,0.815,146.916,12.025224696,625
0.805,0.035,0.825,161.649,12.025224696,625
0.805,0.035,0.845,244.613,12.025224696,625
