X_pos,Y_pos,Z_pos,UV_dose,Execution_time,Num_cells_in_region
0.755,-0.175,0.755,4.29083,17.679260781,5793
0.755,-0.155,0.755,11.2567,17.679260781,5793
0.755,-0.155,0.765,10.9855,17.679260781,5793
0.755,-0.145,0.755,22.2133,17.679260781,5793
0.755,-0.145,0.765,13.1173,17.679260781,5793
0.755,-0.135,0.755,27.764,17.679260781,5793
0.755,-0.135,0.765,23.4429,17.679260781,5793
0.755,-0.125,0.755,29.5765,17.679260781,5793
0.755,-0.125,0.765,29.6782,17.679260781,5793
0.755,-0.115,0.755,29.7826,17.679260781,5793
0.755,-0.115,0.765,29.9041,17.679260781,5793
0.755,-0.105,0.755,25.1503,17.679260781,5793
0.755,-0.105,0.765,31.2823,17.679260781,5793
0.755,-0.095,0.755,31.3973,17.679260781,5793
0.755,-0.095,0.765,31.5309,17.679260781,5793
0.755,-0.085,0.755,31.5805,17.679260781,5793
0.755,-0.085,0.765,31.6765,17.679260781,5793
0.755,-0.075,0.755,31.7217,17.679260781,5793
0.755,-0.075,0.765,30.7559,17.679260781,5793
0.755,-0.065,0.755,38.5762,17.679260781,5793
0.755,-0.065,0.765,30.9097,17.679260781,5793
0.755,-0.055,0.755,32.0707,17.679260781,5793
0.755,-0.055,0.765,32.172,17.679260781,5793
0.755,-0.045,0.755,32.2247,17.679260781,5793
0.755,-0.045,0.765,32.4087,17.679260781,5793
0.755,-0.035,0.755,26.7203,17.679260781,5793
0.755,-0.035,0.765,26.8332,17.679260781,5793
0.755,-0.025,0.755,26.8267,17.679260781,5793
0.755,-0.025,0.765,26.9524,17.679260781,5793
0.755,-0.015,0.755,26.9922,17.679260781,5793
0.755,-0.015,0.765,27.0818,17.679260781,5793
0.755,-0.005,0.755,20.7451,17.679260781,5793
0.755,-0.005,0.765,20.8276,17.679260781,5793
0.755,0.005,0.755,27.0846,17.679260781,5793
0.755,0.005,0.765,27.1648,17.679260781,5793
0.755,0.015,0.755,34.8006,17.679260781,5793
0.755,0.015,0.765,34.8656,17.679260781,5793
0.755,0.025,0.755,28.8864,17.679260781,5793
0.755,0.025,0.765,28.9588,17.679260781,5793
0.755,0.035,0.755,20.7572,17.679260781,5793
0.755,0.035,0.765,20.8004,17.679260781,5793
0.755,0.045,0.755,26.4398,17.679260781,5793
0.755,0.045,0.765,26.4994,17.679260781,5793
0.755,0.055,0.755,32.5485,17.679260781,5793
0.755,0.055,0.765,40.2461,17.679260781,5793
