X_pos,Y_pos,Z_pos,UV_dose,Execution_time
0.725,-0.515,0.765,259.222,24.151374942
0.725,-0.505,0.765,260.116,24.151374942
0.725,-0.495,0.765,233.936,24.151374942
0.725,-0.485,0.765,227.211,24.151374942
0.725,-0.475,0.765,233.782,24.151374942
0.725,-0.465,0.765,216.631,24.151374942
0.725,-0.455,0.765,201.42,24.151374942
0.725,-0.445,0.765,199.751,24.151374942
0.725,-0.435,0.765,200.114,24.151374942
0.725,-0.425,0.765,199.052,24.151374942
0.725,-0.415,0.765,188.703,24.151374942
0.725,-0.405,0.765,176.14,24.151374942
0.725,-0.395,0.765,165.607,24.151374942
0.725,-0.385,0.765,134.025,24.151374942
0.725,-0.375,0.765,134.409,24.151374942
0.725,-0.365,0.765,133.724,24.151374942
0.725,-0.355,0.765,125.206,24.151374942
0.725,-0.345,0.765,113.734,24.151374942
0.725,-0.335,0.765,113.298,24.151374942
0.725,-0.325,0.765,112.665,24.151374942
0.725,-0.315,0.765,113.951,24.151374942
0.725,-0.305,0.765,108.929,24.151374942
0.725,-0.295,0.765,110.263,24.151374942
0.725,-0.285,0.765,112.261,24.151374942
0.725,-0.275,0.765,118.478,24.151374942
0.725,-0.265,0.765,116.713,24.151374942
0.725,-0.255,0.765,108.207,24.151374942
0.725,-0.245,0.765,107.799,24.151374942
0.725,-0.235,0.765,115.892,24.151374942
0.725,-0.225,0.765,100.197,24.151374942
0.725,-0.215,0.765,98.2505,24.151374942
0.725,-0.205,0.765,96.9672,24.151374942
0.725,-0.195,0.765,106.622,24.151374942
0.725,-0.185,0.765,99.648,24.151374942
0.725,-0.175,0.765,107.874,24.151374942
0.725,-0.165,0.765,116.928,24.151374942
0.725,-0.155,0.765,108.376,24.151374942
0.725,-0.145,0.765,119.776,24.151374942
0.725,-0.135,0.765,108.934,24.151374942
0.725,-0.125,0.765,118.054,24.151374942
0.725,-0.115,0.765,118.832,24.151374942
0.725,-0.105,0.765,118.538,24.151374942
0.725,-0.095,0.765,118.834,24.151374942
0.725,-0.085,0.765,120.638,24.151374942
0.725,-0.075,0.765,120.365,24.151374942
0.725,-0.065,0.765,120.336,24.151374942
0.725,-0.055,0.765,120.57,24.151374942
0.725,-0.045,0.765,119.127,24.151374942
0.725,-0.035,0.765,118.116,24.151374942
0.725,-0.025,0.765,137.25,24.151374942
0.725,-0.015,0.765,173.993,24.151374942
0.725,-0.005,0.765,220.904,24.151374942
0.725,0.005,0.765,242.079,24.151374942
0.725,0.015,0.765,264.215,24.151374942
0.725,0.025,0.765,264.911,24.151374942
0.725,0.035,0.765,272.253,24.151374942
0.725,0.045,0.765,280.538,24.151374942
0.725,0.055,0.765,273.382,24.151374942
0.725,0.065,0.765,256.246,24.151374942
0.725,0.075,0.765,250.054,24.151374942
0.725,0.085,0.765,222.08,24.151374942
0.725,0.095,0.765,164.775,24.151374942
0.725,0.105,0.765,142.335,24.151374942
0.725,0.115,0.765,140.509,24.151374942
0.725,0.125,0.765,121.259,24.151374942
0.725,0.135,0.765,122.073,24.151374942
0.725,0.145,0.765,124.256,24.151374942
0.725,0.155,0.765,122.085,24.151374942
0.725,0.165,0.765,109.977,24.151374942
0.725,0.175,0.765,119.191,24.151374942
0.725,0.185,0.765,121.294,24.151374942
0.725,0.195,0.765,123.276,24.151374942
0.725,0.205,0.765,124.331,24.151374942
0.725,0.215,0.765,127.052,24.151374942
0.725,0.225,0.765,129.977,24.151374942
0.725,0.235,0.765,118.8,24.151374942
0.725,0.245,0.765,130.23,24.151374942
0.725,0.265,0.765,129.575,24.151374942
0.725,0.275,0.765,118.171,24.151374942
0.725,0.285,0.765,126.709,24.151374942
0.725,0.295,0.765,135.59,24.151374942
0.725,0.305,0.765,135.232,24.151374942
0.725,0.315,0.765,135.157,24.151374942
0.725,0.325,0.765,142.813,24.151374942
0.725,0.335,0.765,142.211,24.151374942
0.725,0.355,0.765,157.717,24.151374942
0.725,0.365,0.765,168.989,24.151374942
0.725,0.375,0.765,170.703,24.151374942
0.725,0.385,0.765,179.237,24.151374942
0.725,0.395,0.765,177.777,24.151374942
0.725,0.405,0.765,175.473,24.151374942
0.725,0.415,0.765,178.894,24.151374942
0.725,0.425,0.765,177.18,24.151374942
0.725,0.435,0.765,193.844,24.151374942
0.725,0.445,0.765,172.696,24.151374942
0.725,0.455,0.765,168.519,24.151374942
0.725,0.465,0.765,158.251,24.151374942
0.725,0.475,0.765,138.921,24.151374942
0.725,0.485,0.765,139.19,24.151374942
0.725,0.495,0.765,112.619,24.151374942
0.725,0.505,0.765,120.954,24.151374942
0.725,0.515,0.765,110.234,24.151374942
